"unresolved_code","from_hunt_code","to_hunt_code","compare_status","identity_score","candidate_confidence","from_species","to_species","from_title","to_title","recommended_next_action","notes","from_model_year","to_model_year"
"DB1200","DB1200","DB1200","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1200 Premium Cwmu Buck Deer -Alton - An y Legal Weapon Page 97","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | Premium CWMU Buck Deer | DB1200 | Alton | CWMU | 3 | 3 | Adult Applicants | Resident | 22 | 12 | 1 | 1 | 1 in 12.0 | NO","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
"DB1201","DB1201","DB1201","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1201 Cwmu Management Buck Deer - Alton - Any Legal Weapon Page 98","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | CWMU Mngmnt Buck Deer | DB1201 | Alton | CWMU | 1 | 1 | Adult Applicants | Resident | 14 | 3 | 1 | 1 | 1 in 3.0 | NO","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
"DB1209","DB1209","DB1209","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1209 Cwmu Buck Deer - Blind Springs - Any Legal Weapon Page 106","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | CWMU Buck Deer | DB1209 | Blind Springs | CWMU | 1 | 1 | Adult Applicants | Resident | 5 | 2 | 1 | 1 | 1 in 2.0 | NO","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
"DB1238","DB1238","DB1238","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1238 Cwmu Buck Deer - Folley Ridge - Any Legal Weapon Page 126","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | CWMU Buck Deer | DB1238 | Folley Ridge | CWMU | 3 | 3 | Adult Applicants | Resident | 15 | 1 | 1 | 1 | 1 in 1.0 | NO","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
"DB1255","DB1255","DB1255","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1255 Cwmu Buck Deer - Johnson Mountain Ranch - Any Legal Weapon Page 141","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | CWMU Buck Deer | DB1255 | Johnson Mountain Ranch | CWMU | 1 | 1 | Adult Applicants | Nonresident | 11 | N/A | YES","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
"DB1310","DB1310","DB1310","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1310 Cwmu Buck Deer - White's Valley - Any Legal Weapon Page 185","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | CWMU Buck Deer | DB1310 | White's Valley | CWMU | 1 | 1 | Adult Applicants | Resident | 9 | 2 | 1 | 1 | 1 in 2.0 | NO","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
"DB1330","DB1330","DB1330","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1330 Cwmu Buck Deer - Iron Spring - Any Legal Weapon Page 196","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | CWMU Buck Deer | DB1330 | Iron Spring | CWMU | 1 | 1 | Adult Applicants | Resident | 4 | 2 | 1 | 1 | 1 in 2.0 | NO","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
"DB1333","DB1333","DB1333","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1333 Cwmu Buck Deer - 5s - Any Legal Weapon Page 199","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | CWMU Buck Deer | DB1333 | 5S | CWMU | 2 | 2 | Adult Applicants | Resident | 7 | 1 | 1 | 1 | 1 in 1.0 | NO","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
"DB1334","DB1334","DB1334","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1334 Cwmu Cactus Buck Deer - Alton - Any Legal Weapon Page 200","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | CWMU Cactus Buck Deer | DB1334 | Alton | CWMU | 1 | 1 | Adult Applicants | Resident | 4 | 1 | 1 | 1 | 1 in 1.0 | NO","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
"DB1335","DB1335","DB1335","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","Hunt: DB1335 Cwmu Buck Deer - Big Piney Ranch - Any Legal Weapon Page 201","2026_big_game_08_limited_entry_buck_deer | 2026_big_game_08_limited_entry_buck_deer.json | 2026 Big Game Bonus Point Draw Results | CWMU Buck Deer | DB1335 | Big Piney Ranch | CWMU | 1 | 1 | Adult Applicants | Resident | 12 | 1 | 1 | 1 | 1 in 1.0 | NO","Carry forward exact code continuity.","Built from independent BIBLE year documents.","2026","2027"
