hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,aligned_recommended_res,aligned_recommended_nr,aligned_recommended_total,alignment_type,winner_source,confidence,source_support_count,source_presence,recommended_action
BI6500,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Dec 07 2026 - Dec 09 2026,2,0,2,2,0,2,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6503,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Oct 28 2026 - Nov 8 2026,4,2,6,4,2,6,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,2,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,REVIEW_BEFORE_PROMOTION
BI6504,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Nov 11 2026 - Nov 22 2026,5,2,7,5,2,7,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6505,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Dec 9 2026 - Dec 20 2026,8,3,11,8,3,11,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HANUMBER|UTAHDRAWS|DATABASE,REVIEW_BEFORE_PROMOTION
BI6506,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,"Dec 23, 2026 - Jan 3, 2027",11,0,11,11,0,11,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,2,HANUMBER|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6509,Henry Mtns,Bison,Hunters Choice,Archery,Once-in-a-lifetime,"Jan 18 - 31, 2027",5,0,5,5,0,5,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6516,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Nov 25 2026 - Dec 6 2026,6,0,6,6,0,6,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6528,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Archery,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,6,0,6,6,0,6,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6529,"Book Cliffs, Little Creek/South",Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Oct 17 2026 - Oct 27 2026,8,0,8,8,0,8,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,2,HANUMBER|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6530,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Sept 14 2024 - Sept 22 2024,3,1,4,3,1,4,DATABASE_MATCHES_RECOMMENDED,HANUMBER,MEDIUM_SINGLE_SOURCE,1,HANUMBER|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6531,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Sept 21 2026 - Oct 02 2026,10,0,10,10,0,10,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,2,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,REVIEW_BEFORE_PROMOTION
BI6532,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Archery,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,6,0,6,6,0,6,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6534,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Sept 20 2026,10,0,10,10,0,10,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6535,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Oct 03 2026 - Oct 15 2026,8,0,8,8,0,8,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6536,"Book Cliffs, Bitter Creek",Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Nov 14 2026 - Nov 29 2026,15,0,15,15,0,15,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HANUMBER|UTAHDRAWS|DATABASE,REVIEW_BEFORE_PROMOTION
BI6537,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Nov 07 2026 - Jan 31 2027,8,7,15,8,7,15,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BI6539,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,"Jan 6 - 17, 2027",11,0,11,11,0,11,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,2,HANUMBER|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR1008,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,"July 6 - 16, 2026",26,2,28,26,2,28,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR1009,La Sal,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,"July 6 - 16, 2026",14,1,15,14,1,15,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR1010,San Juan,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,"July 6 - 16, 2026",14,1,15,14,1,15,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR1011,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",26,2,28,26,2,28,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
