hunt_code,species_family,source_presence,comparison_status,source_value_status,source_hunt_name,database_hunt_name,source_species,database_species,source_res,source_nr,source_total,database_allotment_res,database_allotment_nr,database_allotment_total,res_compare_status,nr_compare_status,total_compare_status,source_row_count,source_files,source_hunt_ids,notes
BI1000,Bison,SOURCE_AND_DATABASE,SOURCE_HAS_VALUE_DATABASE_BLANK,OK,Sportsman Bison,Bison - Statewide Permit,Bison,Bison,,,1,,,,BOTH_BLANK,BOTH_BLANK,DATABASE_BLANK,1,pipeline/RAW/hunt_unit_database/2026/exports/utahdraws_draw_odds_20260603/csv/2026_sportsman_all.csv,1020,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
BI6500,Bison,SOURCE_AND_DATABASE,MATCH_ALL_COMPARABLE,OK,Antelope Island,Antelope Island,Antelope Island Bison,Bison,2,0,2,2,0,2,MATCH,MATCH,MATCH,33,pipeline/RAW/hunt_unit_database/2026/exports/utahdraws_draw_odds_20260603/csv/2026_big_game_12_bison.csv,1081,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
BI6503,Bison,SOURCE_AND_DATABASE,MISMATCH_RES_TOTAL,OK,Henry Mtns,Henry Mtns,Bison (Hunter's Choice),Bison,3,2,5,4,2,6,MISMATCH,MATCH,MISMATCH,61,pipeline/RAW/hunt_unit_database/2026/exports/utahdraws_draw_odds_20260603/csv/2026_big_game_12_bison.csv,1082,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
BI6504,Bison,SOURCE_AND_DATABASE,MATCH_ALL_COMPARABLE,OK,Henry Mtns,Henry Mtns,Bison (Hunter's Choice),Bison,5,2,7,5,2,7,MATCH,MATCH,MATCH,59,pipeline/RAW/hunt_unit_database/2026/exports/utahdraws_draw_odds_20260603/csv/2026_big_game_12_bison.csv,1083,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
BI6505,Bison,SOURCE_AND_DATABASE,MISMATCH_NR_TOTAL,OK,Henry Mtns,Henry Mtns,Bison (Cow Only),Bison,8,2,10,8,3,11,MATCH,MISMATCH,MISMATCH,46,pipeline/RAW/hunt_unit_database/2026/exports/utahdraws_draw_odds_20260603/csv/2026_big_game_12_bison.csv,1084,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
BI6506,Bison,SOURCE_AND_DATABASE,MATCH_ALL_COMPARABLE,OK,Henry Mtns,Henry Mtns,Bison (Cow Only),Bison,11,0,11,11,0,11,MATCH,MATCH,MATCH,20,pipeline/RAW/hunt_unit_database/2026/exports/utahdraws_draw_odds_20260603/csv/2026_big_game_12_bison.csv,1085,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
BI6509,Bison,SOURCE_AND_DATABASE,MATCH_ALL_COMPARABLE,OK,Henry Mtns,Henry Mtns,Bison (Hunter's Choice),Bison,5,0,5,5,0,5,MATCH,MATCH,MATCH,23,pipeline/RAW/hunt_unit_database/2026/exports/utahdraws_draw_odds_20260603/csv/2026_big_game_12_bison.csv,1086,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
BI6516,Bison,SOURCE_AND_DATABASE,MATCH_ALL_COMPARABLE,OK,Henry Mtns,Henry Mtns,Bison (Hunter's Choice),Bison,6,0,6,6,0,6,MATCH,MATCH,MATCH,29,pipeline/RAW/hunt_unit_database/2026/exports/utahdraws_draw_odds_20260603/csv/2026_big_game_12_bison.csv,1087,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
BI6527,Bison,DATABASE_ONLY,DATABASE_ONLY_NOT_IN_SOURCE_PULL,OK,,Nine Mile,,Bison,,,,,,,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,0,,,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
BI6528,Bison,SOURCE_AND_DATABASE,MATCH_ALL_COMPARABLE,OK,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",Bison (Hunter's Choice),Bison,6,0,6,6,0,6,MATCH,MATCH,MATCH,21,pipeline/RAW/hunt_unit_database/2026/exports/utahdraws_draw_odds_20260603/csv/2026_big_game_12_bison.csv,1088,2026 draw-results pull is provisional evidence; DATABASE allotment columns remain authoritative until promotion review.
