hunt_code,prefix,first_present_year_in_transition,previous_year_absent,seen_before_previous_year,source_files_first_present_year,source_pages_first_present_year
BI6500,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,488
BI6501,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,489
BI6503,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,490
BI6504,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,491
BI6505,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,492
BI6506,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,493
BI6507,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,494
BI6508,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,495
BI6509,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,496
BI6515,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,497
BI6516,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,498
BI6517,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,499
BI6518,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,500
BI6519,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,501
BI6520,BI,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,502
BR1008,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,2
BR1009,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,3
BR1010,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,4
BR1011,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,5
BR1012,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,6
BR1013,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,7
