hunt_code,prefix,first_seen_report_year,last_seen_report_year,observed_years,gap_years_likely_continued,terminal_absent_years_through_2026,gap_count,terminal_absent_year_count,active_in_2026,lifecycle_interpretation
BI1000,BI,2020,2026,2020|2021|2022|2026,2023|2024|2025,,3,0,YES,ACTIVE_2026_WITH_REAPPEARANCE_GAPS_LIKELY_CONTINUED
BI6500,BI,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6503,BI,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6504,BI,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6505,BI,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6506,BI,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6507,BI,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6509,BI,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6515,BI,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6516,BI,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6517,BI,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6519,BI,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6520,BI,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6521,BI,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6522,BI,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6523,BI,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6524,BI,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6526,BI,2021,2021,2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6528,BI,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6529,BI,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6530,BI,2022,2024,2022|2023|2024,,2025|2026,0,2,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6531,BI,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6532,BI,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6533,BI,2022,2023,2022|2023,,2024|2025|2026,0,3,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BI6534,BI,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6535,BI,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6536,BI,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6537,BI,2023,2026,2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BI6539,BI,2026,2026,2026,,,0,0,YES,ACTIVE_2026
BR1000,BR,2020,2026,2020|2021|2022|2026,2023|2024|2025,,3,0,YES,ACTIVE_2026_WITH_REAPPEARANCE_GAPS_LIKELY_CONTINUED
BR1008,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR1009,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR1010,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR1011,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR1012,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR1013,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR1015,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR1016,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR1017,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7000,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7001,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7003,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7004,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
