hunt_code,prefix,present_report_year_2020,source_count_report_year_2020,present_report_year_2021,source_count_report_year_2021,present_report_year_2022,source_count_report_year_2022,present_report_year_2023,source_count_report_year_2023,present_report_year_2024,source_count_report_year_2024,present_report_year_2025,source_count_report_year_2025,present_report_year_2026,source_count_report_year_2026
BI1000,BI,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,YES,1
BI6500,BI,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6503,BI,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6504,BI,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6505,BI,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6506,BI,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6507,BI,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
BI6509,BI,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6515,BI,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
BI6516,BI,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6517,BI,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6519,BI,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6520,BI,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6521,BI,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6522,BI,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
BI6523,BI,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6524,BI,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6526,BI,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6528,BI,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6529,BI,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6530,BI,NO,0,NO,0,YES,2,YES,2,YES,2,NO,0,NO,0
BI6531,BI,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6532,BI,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6533,BI,NO,0,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0
BI6534,BI,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6535,BI,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6536,BI,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6537,BI,NO,0,NO,0,NO,0,YES,2,YES,2,YES,3,YES,1
BI6539,BI,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR1000,BR,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,YES,1
BR1008,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1009,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1010,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1011,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1012,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1013,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1015,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1016,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1017,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7000,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7001,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7003,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7004,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7005,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7007,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7008,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,NO,0
BR7009,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7010,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7011,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7012,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7013,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7014,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7015,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7016,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7017,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7018,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7019,BR,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
BR7020,BR,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7021,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7022,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7100,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7101,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7102,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7104,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7105,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7106,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7108,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,NO,0
BR7109,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7110,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7111,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7112,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7113,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7114,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7115,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7116,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7117,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7118,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7119,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7120,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7121,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7122,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7123,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7124,BR,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7125,BR,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7126,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7127,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7200,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7201,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7203,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7204,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7205,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7207,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7208,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,NO,0
BR7209,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7210,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7211,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7212,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7213,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7214,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7215,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7216,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7217,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7218,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7219,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7220,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7221,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7224,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7225,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7226,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7227,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7228,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7229,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7230,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7231,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7232,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7233,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7234,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7235,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7236,BR,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7237,BR,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1,NO,0
BR7238,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7239,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7300,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7301,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7303,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7304,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7305,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7307,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,NO,0
BR7308,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7309,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7310,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7311,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7312,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7313,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7314,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7315,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7316,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7317,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7318,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7320,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7321,BR,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7322,BR,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7323,BR,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7325,BR,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1
BR7326,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
CG1000,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG1029,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG1030,CG,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG1034,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7502,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7503,CG,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
CG7506,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7602,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7603,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7605,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7610,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7612,CG,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7613,CG,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7615,CG,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7619,CG,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG9999,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
DA1000,DA,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
DA1001,DA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1002,DA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1003,DA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
