draw_results_year,permit_draw_year,report_year,model_year,hunt_code,prefix,source_appearance_count,source_file_count,source_files,source_report_families,source_pages,source_hunt_titles,combined_total_permits_values,current_database_match_statuses,name_match_statuses,totals_parse_statuses,lifecycle_classes,normalization_notes,duplicate_source_files,conflicting_source_names,conflicting_total_permits,crosscheck_status
2025,2025,2025,2026,BI6500,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,2|37|535,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,REVIEW_TOTALS_PARSE,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_TOTALS_PARSE
2025,2025,2025,2026,BI6503,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,3|38|536,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,6,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,REVIEW_TOTALS_PARSE,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_TOTALS_PARSE
2025,2025,2025,2026,BI6504,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,39|4|537,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,7,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6505,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,40|5|538,Bison (cow Only) - Henry Mtns - Any Legal Weapon,28,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6506,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,41|539|6,Bison (cow Only) - Henry Mtns - Any Legal Weapon,30,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6509,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,42|540|7,Bison Archery (hunter’s Choice) - Henry Mtns - Archery,4,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6516,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,43|541|8,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,5,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6528,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,44|542|9,"Bison Archery (hunter’s Choice) - Book Cliffs, Little Creek/south - Archery",5,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6529,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,10|45|543,"Bison (cow Only) - Book Cliffs, Little Creek/south - Any Legal Weapon",8,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6531,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,11|46|544,"Bison (hunter’s Choice) - Book Cliffs, Little Creek/south - Any Legal Weapon",7,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
