hunt_code,prefix,present_2018,source_count_2018,present_2019,source_count_2019,present_2020,source_count_2020,present_2021,source_count_2021,present_2022,source_count_2022,present_2023,source_count_2023,present_2024,source_count_2024,present_2025,source_count_2025,present_2026,source_count_2026
ABI1000,ABI,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
ABR1000,ABR,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
ACG1000,ACG,NO,0,NO,0,NO,0,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0
ADB0007,ADB,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
ADS1000,ADS,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
AEB1000,AEB,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
AGO1000,AGO,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
AMB1000,AMB,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
APB1000,APB,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
ARS0001,ARS,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
ATK0001,ATK,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
BI1000,BI,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,YES,1
BI6500,BI,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6501,BI,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
BI6503,BI,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6504,BI,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6505,BI,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6506,BI,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6507,BI,NO,0,YES,1,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
BI6508,BI,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
BI6509,BI,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6515,BI,NO,0,YES,1,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
BI6516,BI,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
BI6517,BI,NO,0,YES,1,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6518,BI,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
BI6519,BI,NO,0,YES,1,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6520,BI,NO,0,YES,1,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6521,BI,NO,0,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6522,BI,NO,0,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
BI6523,BI,NO,0,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6524,BI,NO,0,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6526,BI,NO,0,NO,0,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
BI6528,BI,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6529,BI,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6530,BI,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,NO,0,NO,0
BI6531,BI,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6532,BI,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6533,BI,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0
BI6534,BI,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6535,BI,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6536,BI,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,3,YES,1
BI6537,BI,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,3,YES,1
BI6539,BI,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR1000,BR,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,YES,1
BR1008,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1009,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1010,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1011,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1012,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1013,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1015,BR,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1016,BR,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR1017,BR,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7000,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7001,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7003,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7004,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7005,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7007,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7008,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,NO,0
BR7009,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7010,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7011,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7012,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7013,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7014,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7015,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7016,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7017,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7018,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7019,BR,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0
BR7020,BR,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7021,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7022,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7100,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7101,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7102,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
