from_report_year,to_report_year,from_model_year,to_model_year,hunt_code,species,unit,weapon,reviewed_status,source_evidence,source_pages,target_source_evidence,target_source_pages,decision_basis
2021,2022,2022,2023,BR7209,Black Bear,Monroe,Any Legal Weapon,REVIEWED_SUCCESSOR_BY_IDENTITY_AND_BOUNDARY,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,58,2022/2022_PERMITS=2023_MODEL__BEAR DRAW RESULTS.pdf,30,"Reviewed safe successor: same Monroe boundary/unit, species, sex, weapon, and later exact-code continuity under BR7020."
2021,2022,2022,2023,BR7226,Black Bear,La Sal,Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_BEAR_GUIDE,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,73,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/2022_bear.pdf,20,2022 bear guide p20 confirms La Sal fall limited-entry replacement row.
2021,2022,2022,2023,BR7227,Black Bear,San Juan,Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_BEAR_GUIDE,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,74,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/2022_bear.pdf,20,2022 bear guide p20 confirms San Juan fall limited-entry replacement row.
2021,2022,2022,2023,BR7230,Black Bear,Cache/ogden,Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_BEAR_GUIDE,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,77,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/2022_bear.pdf,20,2022 bear guide p20 confirms Cache/Ogden fall limited-entry replacement row.
2021,2022,2022,2023,BR7231,Black Bear,"Central Mtns, Manti-north",Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_BEAR_GUIDE,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,78,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/2022_bear.pdf,20,"2022 bear guide p20 confirms Central Mtns, Manti-North fall limited-entry replacement row."
2021,2022,2022,2023,BR7232,Black Bear,"Central Mtns, Manti-south/san Rafael, North",Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_BEAR_GUIDE,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,79,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/2022_bear.pdf,20,"2022 bear guide p20 confirms Central Mtns, Manti-South/San Rafael, North fall limited-entry replacement row."
2021,2022,2022,2023,BR7233,Black Bear,"Central Mtns, Nebo",Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_BEAR_GUIDE,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,80,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/2022_bear.pdf,20,"2022 bear guide p20 confirms Central Mtns, Nebo fall limited-entry replacement row."
2021,2022,2022,2023,BR7235,Black Bear,"Kamas/north Slope, Summit",Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_BEAR_GUIDE,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,82,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/2022_bear.pdf,20,"2022 bear guide p20 confirms Kamas/North Slope, Summit fall limited-entry replacement row."
2021,2022,2022,2023,BR7236,Black Bear,"Plateau, Boulder/kaiparowits",Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_BEAR_GUIDE,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,83,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/2022_bear.pdf,20,"2022 bear guide p20 confirms Plateau, Boulder/Kaiparowits fall limited-entry replacement row."
2021,2022,2022,2023,CG7503,Cougar,Morgan-south Rich,Any Legal Weapon,REVIEWED_2022_COUGAR_ACTIVE_CONTINUITY,2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf,5,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/2021-22_cougar.pdf,19|20,Official 2021-22 cougar guide confirms Morgan-South Rich exact-code active continuity.
