hunt_code,field_name,feeder_source_file,feeder_value,target_value,comparison_status,notes
BI1000,hunt_name,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Bison - Statewide Permit,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI1000,species,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Bison,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI1000,weapon,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Any Legal Weapon,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI1000,hunt_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Statewide,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI1000,residency,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,Nonresident|Resident,Nonresident|Resident,MATCH,Feeder values preserved in target set.
BI1000,draw_pool,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,sportsman|standard,sportsman|standard,MATCH,Feeder values preserved in target set.
BI1000,points,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|1|10|11|12|13|...(+27 more),0|1|10|11|12|13|...(+27 more),MATCH,Feeder values preserved in target set.
BI1000,draw_outlook,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,INSUFFICIENT DATA|STATEWIDE DRAW,INSUFFICIENT DATA|STATEWIDE DRAW,MATCH,Feeder values preserved in target set.
BI1000,status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,INSUFFICIENT DATA|MODELED_SPORTSMAN_DRAW,INSUFFICIENT DATA|MODELED_SPORTSMAN_DRAW,MATCH,Feeder values preserved in target set.
BI1000,trend,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,YELLOW,YELLOW,MATCH,Feeder values preserved in target set.
BI1000,display_odds_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,p_draw_mean,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,p_draw_p10,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,p_draw_p90,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,point_pool_zone,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,guaranteed_at_2026,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,permits_2026_res,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,permits_2026_nr,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,permits_2026_total,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,harvest_success_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,100,100,MATCH,Feeder values preserved in target set.
BI1000,average_days_hunted,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,1,1,MATCH,Feeder values preserved in target set.
BI1000,average_harvest_age,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,current_age_3yr_average,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,management_objective_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI1000,management_objective_range,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI1000,management_direction,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI1000,availability_status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/draw_reality_engine.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI1000,dwr_result_display,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
