name,source_file,role,exists,row_count,size_bytes,size_mb,delivery,href,local_href,cloudflare_href
currentCanonicalProcessed,processed_data/hunt-master-canonical-2026-source-of-truth.csv,canonical current hunt source of truth,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/hunt-master-canonical-2026-source-of-truth.csv,./processed_data/hunt-master-canonical-2026-source-of-truth.csv,https://json.uoga.workers.dev/processed_data/hunt-master-canonical-2026-source-of-truth.csv
huntDatabaseComplete,processed_data/hunt_database_complete.csv,supporting input,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/hunt_database_complete.csv,./processed_data/hunt_database_complete.csv,https://json.uoga.workers.dev/processed_data/hunt_database_complete.csv
huntMasterEnriched,processed_data/hunt_master_enriched.csv,enriched hunt master,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/hunt_master_enriched.csv,./processed_data/hunt_master_enriched.csv,https://json.uoga.workers.dev/processed_data/hunt_master_enriched.csv
huntUnitReferenceLinked,processed_data/hunt_unit_reference_linked.csv,supporting input,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/hunt_unit_reference_linked.csv,./processed_data/hunt_unit_reference_linked.csv,https://json.uoga.workers.dev/processed_data/hunt_unit_reference_linked.csv
drawRealityEngine,processed_data/draw_reality_engine.csv,draw reality engine output,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/draw_reality_engine.csv,./processed_data/draw_reality_engine.csv,https://json.uoga.workers.dev/processed_data/draw_reality_engine.csv
drawRealityEngineV2,processed_data/draw_reality_engine_v2.csv,draw reality engine output,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/draw_reality_engine_v2.csv,./processed_data/draw_reality_engine_v2.csv,https://json.uoga.workers.dev/processed_data/draw_reality_engine_v2.csv
drawRealityEnginePredictive,processed_data/draw_reality_engine_predictive_v2.csv,primary prediction output,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/draw_reality_engine_predictive_v2.csv,./processed_data/draw_reality_engine_predictive_v2.csv,https://json.uoga.workers.dev/processed_data/draw_reality_engine_predictive_v2.csv
mlDrawPredictions,processed_data/ml_draw_predictions_v1.csv,ML prediction output,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/ml_draw_predictions_v1.csv,./processed_data/ml_draw_predictions_v1.csv,https://json.uoga.workers.dev/processed_data/ml_draw_predictions_v1.csv
coverageReport,processed_data/draw_system_coverage_report.csv,coverage/classification report,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/draw_system_coverage_report.csv,./processed_data/draw_system_coverage_report.csv,https://json.uoga.workers.dev/processed_data/draw_system_coverage_report.csv
predictiveCoverageReport,processed_data/predictive_coverage_report.csv,coverage/classification report,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/predictive_coverage_report.csv,./processed_data/predictive_coverage_report.csv,https://json.uoga.workers.dev/processed_data/predictive_coverage_report.csv
crosswalk,processed_data/current_to_historical_hunt_code_crosswalk_2026.csv,current-to-historical crosswalk,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/current_to_historical_hunt_code_crosswalk_2026.csv,./processed_data/current_to_historical_hunt_code_crosswalk_2026.csv,https://json.uoga.workers.dev/processed_data/current_to_historical_hunt_code_crosswalk_2026.csv
harvestMaster,processed_data/harvest_master.csv,harvest evidence,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/harvest_master.csv,./processed_data/harvest_master.csv,https://json.uoga.workers.dev/processed_data/harvest_master.csv
harvestQualityAllYears,processed_data/harvest_quality_features_all_years_by_hunt_code.csv,harvest evidence,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/harvest_quality_features_all_years_by_hunt_code.csv,./processed_data/harvest_quality_features_all_years_by_hunt_code.csv,https://json.uoga.workers.dev/processed_data/harvest_quality_features_all_years_by_hunt_code.csv
researchLibraryMaster,processed_data/research_library_master.csv,research-page source,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/research_library_master.csv,./processed_data/research_library_master.csv,https://json.uoga.workers.dev/processed_data/research_library_master.csv
