hunt_code,audit_bucket,presence_status,comparison_status,live_hunt_name,database_hunt_name,live_res,live_nr,live_total,database_compared_res,database_compared_nr,database_compared_total,live_shape_status,database_compare_source,source_url,notes
BI1000,BOTH_BLANK_NO_PERMIT_NUMBER,LIVE_AND_DATABASE,BOTH_BLANK,Bison - Statewide Permit,Bison - Statewide Permit,,,,,,,LIVE_DWR_NO_QUOTA_PUBLISHED,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6500,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,Antelope Island,Antelope Island,2,0,2,2,0,2,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6503,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,Henry Mtns,Henry Mtns,4,2,6,4,2,6,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6504,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,Henry Mtns,Henry Mtns,5,2,7,5,2,7,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6505,REVIEW_DATABASE_ONLY_NOT_IN_LIVE_PULL,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,,,,8,3,11,,DATABASE.permit_allotment_2026,,Hunt code exists in current DATABASE.csv but was not exposed by queried live DWR HuntBoundary endpoints.
BI6506,REVIEW_DATABASE_ONLY_NOT_IN_LIVE_PULL,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,,,,11,0,11,,DATABASE.permit_allotment_2026,,Hunt code exists in current DATABASE.csv but was not exposed by queried live DWR HuntBoundary endpoints.
BI6509,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,Henry Mtns,Henry Mtns,5,0,5,5,0,5,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6516,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,Henry Mtns,Henry Mtns,6,0,6,6,0,6,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6527,BOTH_BLANK_NO_PERMIT_NUMBER,LIVE_AND_DATABASE,BOTH_BLANK,Nine Mile,Nine Mile,,,,,,,LIVE_DWR_NO_QUOTA_PUBLISHED,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6528,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",6,0,6,6,0,6,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6529,REVIEW_DATABASE_ONLY_NOT_IN_LIVE_PULL,DATABASE_ONLY,DATABASE_ONLY,,"Book Cliffs, Little Creek/South",,,,8,0,8,,DATABASE.permit_allotment_2026,,Hunt code exists in current DATABASE.csv but was not exposed by queried live DWR HuntBoundary endpoints.
BI6530,REVIEW_DATABASE_ONLY_NOT_IN_LIVE_PULL,DATABASE_ONLY,DATABASE_ONLY,,"Book Cliffs, Little Creek/South",,,,3,1,4,,DATABASE.permit_allotment_2026,,Hunt code exists in current DATABASE.csv but was not exposed by queried live DWR HuntBoundary endpoints.
