target_hunt_code,candidate_source_hunt_code,target_hunt_name,source_hunt_name,target_species,source_species,target_weapon,source_weapon,name_similarity_jaccard,species_ok,weapon_ok,confidence,source_res,source_nr,source_total,source_file,action,reason
EL3002,EB3002,Book Cliffs Little Creek Roadless,"Book Cliffs, Little Creek Roadless",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,1,0,1,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3028,EB3028,Book Cliffs Little Creek Roadless,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,1,0,1,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3079,EB3079,Book Cliffs Little Creek Roadless,"Book Cliffs, Little Creek Roadless",ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,1,0,1,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3167,EB3167,Book Cliffs Little Creek Roadless,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,1,1,2,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
LO1502,DB1502,Cache,Cache - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,383,27,410,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
EL3003,EB3003,Cache Meadowville,"Cache, Meadowville",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,6,1,7,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3032,EB3032,Cache Meadowville,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3033,EB3033,Cache Meadowville,Late,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3081,EB3081,Cache Meadowville,"Cache, Meadowville",ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,2,1,3,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3168,EB3168,Cache Meadowville,Late,ELK,ELK,ARCHERY,ARCHERY,0.0,True,True,LOW,1,1,2,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3169,EB3169,Cache Meadowville,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,4,1,5,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3132,EB3132,Cache North,"Cache, North",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,6,2,8,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3139,EB3139,Cache North,"Cache, North",ELK,ELK,"HAMSS (HANDGUN, ARCHERY, MUZZLELOADER, SHOTGUN OR STRAIGHT-WALLED RIFLE)",H.A.M.S.S.,1.0,True,False,LOW,6,2,8,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3005,EB3005,Cache South,"Cache, South",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,3,1,4,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3036,EB3036,Cache South,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,1,1,2,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3037,EB3037,Cache South,Late,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3083,EB3083,Cache South,"Cache, South",ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,1,1,2,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3170,EB3170,Cache South,Late,ELK,ELK,ARCHERY,ARCHERY,0.0,True,True,LOW,1,1,2,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
