target_hunt_code,candidate_source_hunt_code,target_hunt_name,source_hunt_name,target_species,source_species,target_weapon,source_weapon,name_similarity_jaccard,species_ok,weapon_ok,confidence,recommended_action,audit_action,candidate_permits_2025_res,candidate_permits_2025_nr,candidate_permits_2025_total,source_file
LO1502,DB1502,Cache,Cache - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,383,27,410,24_deer_odds.pdf
LO1600,DB1600,Chalk Creek,Chalk Creek - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,235,9,244,24_deer_odds.pdf
LO1602,DB1602,Chalk Creek,Chalk Creek - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,134,1,135,24_deer_odds.pdf
LO1610,DB1610,Morgan-South Rich,Morgan-south Rich - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.6,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,78,1,79,24_deer_odds.pdf
LO1604,DB1604,East Canyon,East Canyon - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,163,4,167,24_deer_odds.pdf
LO1606,DB1606,East Canyon,East Canyon - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,82,4,86,24_deer_odds.pdf
LO1518,DB1518,Boulder/Kaiparowits,Boulder/kaiparowits - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,136,14,150,24_deer_odds.pdf
LO1501,DB1501,Box Elder,Box Elder - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,338,34,372,24_deer_odds.pdf
LO1561,DB1561,Box Elder,Box Elder - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,377,11,388,24_deer_odds.pdf
LO1514,DB1514,Ogden,Ogden - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,146,13,159,24_deer_odds.pdf
LO1508,DB1508,Kamas,Kamas - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,103,4,107,24_deer_odds.pdf
LO1513,DB1513,North Slope,North Slope - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,209,30,239,24_deer_odds.pdf
LO1573,DB1573,North Slope,North Slope - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,210,12,222,24_deer_odds.pdf
