source_family,source_file,source_row_count,hunt_code,source_hunt_name,species,sex_type,weapon,hunt_type,hunt_class,source_res,source_nr,source_total,source_permit_shape,mapping_status,notes
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0001,Southeastern Navajo Buck Deer,Deer,Buck,Any Legal Weapon,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0002,Southeastern Navajo Buck Deer,Deer,Buck,Archery,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0003,Southeastern Navajo Buck Deer,Deer,Buck,Muzzleloader,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0004,Southern Navajo Buck Deer,Deer,Buck,Any Legal Weapon,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0005,Southern Navajo Buck Deer,Deer,Buck,Archery,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0006,Southern Navajo Buck Deer,Deer,Buck,Muzzleloader,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,L.E.,sportsmens,,,1,TOTAL_ONLY,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0009,Antelope Island - Conservation/Expo,Deer,Buck,Any Legal Weapon,conservation,expo,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0010,Southern Paiute Buck Deer (early),Deer,Buck,Any Legal Weapon,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0011,Southern Paiute Buck Deer,Deer,Buck,Archery,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0012,Southern Paiute Buck Deer,Deer,Buck,Muzzleloader,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0013,Southern Paiute Buck Deer (late),Deer,Buck,Any Legal Weapon,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
