hunt_code,source_hunt_name,database_hunt_name,source_res,source_nr,source_total,recommended_res,recommended_nr,recommended_total,database_res,database_nr,database_total,source_vs_recommended,source_vs_database,database_alignment,winner_source
PD1000,"Box Elder, Snowville","Box Elder, Snowville",36,4,40,36,4,40,72,8,80,EXACT_MATCH,DIFFERS,DATABASE_DIFFERS_FROM_RECOMMENDED,HANUMBER
PD1011,Deseret CWMU,Deseret CWMU,40,0,40,,,40,,,40,TOTAL_MATCH_ONLY,TOTAL_MATCH_ONLY,DATABASE_MATCHES_RECOMMENDED,HUNTTABLE
PD1012,"Box Elder, Promontory","Box Elder, Promontory",18,2,20,18,2,20,22,3,25,EXACT_MATCH,DIFFERS,DATABASE_DIFFERS_FROM_RECOMMENDED,HANUMBER
PD1016,Zane CWMU,Zane CWMU,6,0,6,6,0,6,4,0,4,EXACT_MATCH,DIFFERS,DATABASE_DIFFERS_FROM_RECOMMENDED,HANUMBER
PD1017,"Box Elder, West","Box Elder, West",31,4,35,31,4,35,49,6,55,EXACT_MATCH,DIFFERS,DATABASE_DIFFERS_FROM_RECOMMENDED,HANUMBER
PD1026,Pahvant Ensign CWMU,Pahvant Ensign CWMU,6,0,6,6,0,6,4,0,4,EXACT_MATCH,DIFFERS,DATABASE_DIFFERS_FROM_RECOMMENDED,HANUMBER
PD1031,Westlake CWMU,Westlake CWMU,9,0,9,9,0,9,9,0,9,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1033,"San Rafael, Poison Springs Bench","San Rafael, Poison Springs Bench",13,2,15,13,2,15,13,2,15,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1034,"Fillmore, Oak Creek South","Fillmore, Oak Creek South",27,3,30,27,3,30,27,3,30,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1035,"Fillmore, Oak Creek South","Fillmore, Oak Creek South",27,3,30,27,3,30,27,3,30,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1039,"Panguitch Lake/Zion, North","Panguitch Lake/Zion, North",36,4,40,36,4,40,36,4,40,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HUNTTABLE
PD1041,Heist CWMU,Heist CWMU,6,0,6,,,6,,,6,TOTAL_MATCH_ONLY,TOTAL_MATCH_ONLY,DATABASE_MATCHES_RECOMMENDED,HUNTTABLE
PD1043,"Nine Mile, Anthro-Pleasant Valley","Nine Mile, Anthro-Pleasant Valley",9,1,10,9,1,10,9,1,10,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1044,Vernal-Ouray Valley,Vernal-Ouray Valley,4,1,5,4,1,5,9,1,10,EXACT_MATCH,DIFFERS,DATABASE_DIFFERS_FROM_RECOMMENDED,HANUMBER
PD1047,Antelope Creek CWMU,Antelope Creek CWMU,6,0,6,6,0,6,6,0,6,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1048,The Rose of Snowville CWMU,The Rose of Snowville CWMU,2,0,2,2,0,2,2,0,2,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1049,Zane CWMU,Zane CWMU,6,0,6,6,0,6,6,0,6,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1050,Cottonwood Ridge CWMU,Cottonwood Ridge CWMU,6,0,6,6,0,6,6,0,6,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1051,Pahvant Ensign CWMU,Pahvant Ensign CWMU,6,0,6,6,0,6,6,0,6,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1052,Heist CWMU,Heist CWMU,6,0,6,6,0,6,6,0,6,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1053,Green River Flat CWMU,Green River Flat CWMU,6,0,6,6,0,6,6,0,6,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1054,Parker Mtn,Parker Mtn,27,3,30,27,3,30,27,3,30,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1055,Parker Mtn,Parker Mtn,31,4,35,31,4,35,31,4,35,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1056,Parker Mtn,Parker Mtn,63,4,67,63,4,67,36,4,40,EXACT_MATCH,DIFFERS,DATABASE_DIFFERS_FROM_RECOMMENDED,HANUMBER
PD1057,"Parker Mtn, Highlands","Parker Mtn, Highlands",27,3,30,27,3,30,31,4,35,EXACT_MATCH,DIFFERS,DATABASE_DIFFERS_FROM_RECOMMENDED,HANUMBER
PD1058,"Parker Mtn, Highlands","Parker Mtn, Highlands",36,4,40,36,4,40,36,4,40,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
PD1059,"Parker Mtn, Plains","Parker Mtn, Plains",31,4,35,31,4,35,27,3,30,EXACT_MATCH,DIFFERS,DATABASE_DIFFERS_FROM_RECOMMENDED,HANUMBER
PD1060,"Parker Mtn, Plains","Parker Mtn, Plains",36,4,40,36,4,40,36,4,40,EXACT_MATCH,EXACT_MATCH,DATABASE_MATCHES_RECOMMENDED,HANUMBER
