"key","path","canonical_url","payload_ok","lfs_pointer_payload","prefix","error"
"builder_display_boundary_index_2026_json","processed_data/display-boundary-index-2026.json","https://json.uoga.workers.dev/processed_data/display-boundary-index-2026.json","True","False","{   ""generated_at"": ""2026-05-08"",   ""source"": ""canonical + boundary-manifest + c",""
"builder_composite_boundaries_2026_geojson","processed_data/statewide_composite_boundaries_2026.geojson","https://json.uoga.workers.dev/processed_data/statewide_composite_boundaries_2026.geojson","True","False","{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""b",""
"builder_composite_hunt_unit_mapping_2026_geojson","processed_data/composite_hunt_unit_mapping_2026.geojson","https://json.uoga.workers.dev/processed_data/composite_hunt_unit_mapping_2026.geojson","True","False","{""type"": ""FeatureCollection"", ""metadata"": {""generated_at_utc"": ""2026-05-06T06:12",""
"research_hunt_research_2026_json","processed_data/hunt_research_2026.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026.json","True","False","[{""hunt_code"":""BI1000"",""hunt_name"":""Bison - Statewide Permit"",""species"":""Bison"",",""
"research_hunt_research_2026_summary_json","processed_data/hunt_research_2026_summary.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_summary.json","True","False","[   {     ""hunt_code"": ""BI1000"",     ""hunt_name"": ""Bison - Statewide Permit"",   ",""
"research_hunt_research_2026_ladder_json","processed_data/hunt_research_2026_ladder.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_ladder.json","True","False","[{""hunt_code"":""BI1000"",""hunt_name"":""Bison - Statewide Permit"",""species"":""Bison"",",""
"research_hunt_research_2026_ladder_preference_json","processed_data/hunt_research_2026_ladder_preference.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_ladder_preference.json","True","False","[{""hunt_code"":""DB1009"",""hunt_name"":""Henry Mtns (Management Buck Deer)"",""species""",""
"research_hunt_research_2026_ladder_bonus_max_random_json","processed_data/hunt_research_2026_ladder_bonus_max_random.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_ladder_bonus_max_random.json","True","False","[{""hunt_code"":""BI6500"",""hunt_name"":""Antelope Island"",""species"":""Bison"",""sex_type",""
"research_hunt_research_2026_split_index_json","processed_data/hunt_research_2026_split/hunt_research_2026.index.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_split/hunt_research_2026.index.json","True","False","[   {     ""hunt_code"": ""BI1000"",     ""species"": ""Bison"",     ""hunt_name"": ""Bison",""
"research_draw_reality_engine_csv","processed_data/draw_reality_engine.csv","https://json.uoga.workers.dev/processed_data/draw_reality_engine.csv","True","False","hunt_code,year,residency,points,eligible_applicants,total_drawn,bonus_permits,re",""
"research_draw_reality_engine_v2_csv","processed_data/draw_reality_engine_v2.csv","https://json.uoga.workers.dev/processed_data/draw_reality_engine_v2.csv","True","False","hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,sea",""
"research_draw_reality_engine_predictive_v2_csv","processed_data/draw_reality_engine_predictive_v2.csv","https://json.uoga.workers.dev/processed_data/draw_reality_engine_predictive_v2.csv","True","False","year,forecast_year,hunt_code,hunt_name,species,sportsman_species,sex_type,hunt_t",""
"research_point_ladder_view_csv","processed_data/point_ladder_view.csv","https://json.uoga.workers.dev/processed_data/point_ladder_view.csv","True","False","hunt_code,residency,points,public_permits_2025,public_permits_2026,public_permit",""
"research_hunt_master_enriched_csv","processed_data/hunt_master_enriched.csv","https://json.uoga.workers.dev/processed_data/hunt_master_enriched.csv","True","False","hunt_code,boundary_id,hunt_name,species,sex_type,weapon,hunt_class,hunt_type,acc",""
"research_hunt_unit_reference_linked_csv","processed_data/hunt_unit_reference_linked.csv","https://json.uoga.workers.dev/processed_data/hunt_unit_reference_linked.csv","True","False","hunt_code,residency,hunt_name,species,weapon,hunt_type,access_type,public_permit",""
"public_contract_hunt_odds_history_json","processed_data/public_contracts/hunt_odds_history.json","https://json.uoga.workers.dev/processed_data/public_contracts/hunt_odds_history.json","True","False","[   {     ""hunt_code"": ""BI1000"",     ""boundary_id"": ""5000"",     ""hunt_name"": ""Bi",""
"runtime_ml_draw_predictions_v1_csv","processed_data/ml_draw_predictions_v1.csv","https://json.uoga.workers.dev/processed_data/ml_draw_predictions_v1.csv","True","False","model_version,rule_version,year,forecast_year,hunt_code,hunt_name,species,sex_ty",""
"runtime_draw_reality_view_csv","processed_data/draw_reality_view.csv","https://json.uoga.workers.dev/processed_data/draw_reality_view.csv","True","False","hunt_code,residency,user_points,species,unit,weapon,public_permits_2025,public_p",""
