asset_label,path,exists,size_bytes,row_count,unique_hunt_codes,database_unique_hunt_codes,target_delivery,lfs_pointer,status
BUILDER_FIRST_LOAD,data/hunt-master-canonical-2026-foundation.json,yes,4180581,1471,1471,1471,REPO_PUBLIC,no,OK
BUILDER_FALLBACK,data/hunt-master-canonical-2026-source-of-truth.json,yes,4180581,1471,1471,1471,REPO_PUBLIC,no,OK
BUILDER_CANDIDATE,data/hunt-master-canonical-2026-database-candidate.json,yes,4180581,1471,1471,1471,REPO_PUBLIC,no,OK
PROCESSED_CURRENT_MASTER,processed_data/hunt-master-canonical-2026-source-of-truth.json,yes,4180581,1471,1471,1471,REPO_PUBLIC,no,OK
PROCESSED_CURRENT_MASTER_CSV,processed_data/hunt-master-canonical-2026-source-of-truth.csv,yes,1315638,1471,1471,1471,REPO_PUBLIC,no,OK
RESEARCH_CONTRACT,processed_data/hunt_research_2026.json,yes,261257548,91734,1471,1471,CLOUDFLARE_R2_PUBLIC,no,OK
RESEARCH_SUMMARY,processed_data/hunt_research_2026_summary.json,yes,10526532,3009,1471,1471,CLOUDFLARE_R2_PUBLIC,no,OK
RESEARCH_LADDER,processed_data/hunt_research_2026_ladder.json,yes,261257548,91734,1471,1471,CLOUDFLARE_R2_PUBLIC,no,OK
RESEARCH_LADDER_PREFERENCE,processed_data/hunt_research_2026_ladder_preference.json,yes,54031489,17820,270,1471,CLOUDFLARE_R2_PUBLIC,no,OK
RESEARCH_LADDER_BONUS_MAX_RANDOM,processed_data/hunt_research_2026_ladder_bonus_max_random.json,yes,124523941,43164,654,1471,CLOUDFLARE_R2_PUBLIC,no,OK
RESEARCH_SPLIT_INDEX,processed_data/hunt_research_2026_split/hunt_research_2026.index.json,yes,998272,1471,1471,1471,CLOUDFLARE_R2_PUBLIC,no,OK
DRAW_REALITY_ENGINE,processed_data/draw_reality_engine.csv,yes,24489639,36892,1623,1471,CLOUDFLARE_R2_PUBLIC,no,OK
DRAW_REALITY_ENGINE_V2,processed_data/draw_reality_engine_v2.csv,yes,44863034,176753,1616,1471,CLOUDFLARE_R2_PUBLIC,no,OK
DRAW_REALITY_ENGINE_PREDICTIVE_V2,processed_data/draw_reality_engine_predictive_v2.csv,yes,24507137,26507,923,1471,CLOUDFLARE_R2_PUBLIC,no,OK
DRAW_REALITY_VIEW,processed_data/draw_reality_view.csv,yes,14072342,53176,812,1471,CLOUDFLARE_R2_PUBLIC,no,OK
ML_DRAW_PREDICTIONS_V1,processed_data/ml_draw_predictions_v1.csv,yes,47072089,27940,1065,1471,CLOUDFLARE_R2_PUBLIC,no,OK
HUNT_MASTER_ENRICHED,processed_data/hunt_master_enriched.csv,yes,51769837,53225,1449,1471,CLOUDFLARE_R2_PUBLIC,no,OK
HUNT_UNIT_REFERENCE_LINKED,processed_data/hunt_unit_reference_linked.csv,yes,2468703,2997,1471,1471,CLOUDFLARE_R2_PUBLIC,no,OK
POINT_LADDER_VIEW,processed_data/point_ladder_view.csv,yes,140384382,91712,1449,1471,CLOUDFLARE_R2_PUBLIC,no,OK
