source_file,source_scope,storage_year,report_title,rows_extracted,normalized_artifact_rows,unknown_code_rows,parse_methods,status
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2018\2019 sportsman_odds.pdf,BIBLE_HUNT_CODES,2018,2018-2019 Sportsman Draw Odds Report,11,0,0,inline_table,OK
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 sportsman_odds.pdf,BIBLE_HUNT_CODES,2019,2019-2020 Sportsman Draw Odds Report,11,0,0,inline_table,OK
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf,BIBLE_HUNT_CODES,2020,2020-2021 Sportsman Draw Odds Report,11,0,0,inline_table,OK
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,BIBLE_HUNT_CODES,2021,2021-2022 Sportsman Draw Odds Report,12,0,0,stacked_column_table,OK
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2022\2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,BIBLE_HUNT_CODES,2022,2022-2023 Sportsman Draw Odds Report,11,11,0,na_glued_code_table,OK
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,BIBLE_HUNT_CODES,2023,2024 Sportsman Draw Odds Report,10,10,0,na_glued_code_table,OK
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2024\2024_PERMITS=2025_MODEL__SPORTSMAN DRAW RESULTS.pdf,BIBLE_HUNT_CODES,2024,2024 Sportsman Draw Odds Report,10,10,0,na_glued_code_table,OK
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,BIBLE_HUNT_CODES,2026,2026 Sportsman Permit Draw Results,10,0,0,one_hunt_per_page_totals,OK
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\draw_odds\20-21_sportsman_odds.pdf,REPO_PIPELINE,2021,2020-2021 Sportsman Draw Odds Report,11,0,0,inline_table,OK
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\draw_odds\ffa5e57f__Sportsman draw odds report.pdf,REPO_PIPELINE,2021,2021-2022 Sportsman Draw Odds Report,12,0,0,stacked_column_table,OK
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\draw_odds\21-22_sportsman_odds.pdf,REPO_PIPELINE,2022,2021-2022 Sportsman Draw Odds Report,12,0,0,stacked_column_table,OK
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\draw_odds\2022-23 Sportsman draw odds report.pdf,REPO_PIPELINE,2024,2022-2023 Sportsman Draw Odds Report,11,11,0,na_glued_code_table,OK
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\2024 _Sportsman draw odds report.pdf,REPO_PIPELINE,2025,2024 Sportsman Draw Odds Report,10,10,0,na_glued_code_table,OK
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\official_style\pdf_2025_naming_convention\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,REPO_PIPELINE,2026,2026 Sportsman Permit Draw Results,10,0,0,one_hunt_per_page_totals,OK
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\pdf\2026_sportsman_all.pdf,REPO_PIPELINE,2026,,10,0,0,utahdraws_summary_ladder_pdf,OK
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\pdf\draw_odds\24-25_sportsman_odds.pdf,REPO_PIPELINE,2026,2025 Sportsman Draw Odds Report,10,0,0,inline_table,OK
