hunt_code,unresolved_sources,classification,notes,database_present,database_hunt_name,database_species,database_sex_type,database_weapon,database_hunt_type,database_hunt_class,database_boundary_id,db_allotment_res,db_allotment_nr,db_allotment_total,permit_recommended_res,permit_recommended_nr,permit_recommended_total,conservation_table_row_count
BI1000,CORE_REVIEW,SPORTSMAN_CONSERVATION_OVERLAP_REVIEW,Code is current sportsman in review set and also appears in conservation table; keep families separate.,yes,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,Statewide Permit,5000,,,,,,,1
BI6503,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,94,4,2,6,4,2,6,1
BI6505,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Antlerless,94,8,3,11,8,3,11,0
BI6506,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Antlerless,94,11,0,11,,,,0
BI6527,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Nine Mile,Bison,Hunters Choice,Any Legal Weapon,General Season,General Season,615,,,,,,,0
BI6529,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Book Cliffs, Little Creek/South",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Antlerless,889,8,0,8,,,,0
BI6530,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,,889,3,1,4,,,,0
BI6531,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,889,10,0,10,10,0,10,1
BI6536,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Book Cliffs, Bitter Creek",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Antlerless,667,15,0,15,15,0,15,0
BI6538,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,"Nine Mile, Private Lands Only",Bison,Hunters Choice,Any Legal Weapon,General Season,General Season,615,,,,,,,0
BI6539,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Antlerless,94,11,0,11,,,,0
BR1000,CORE_REVIEW,UNRESOLVED_DATABASE_PRESENT_REVIEW,Present in DATABASE but unresolved status remains.,yes,Black Bear - Statewide Permit,Black Bear,Either Sex,Any Legal Weapon,Statewide,Statewide Permit,5001,,,,,,,0
BR1001,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Black Bear Harvest Objective Units,Black Bear,Either Sex,Any Legal Weapon,Harvest Objective,,5002,,,,,,,0
BR1007,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit Only,Pursuit,Pursuit,5003,,,,,,,0
BR1018,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit Only,Pursuit,,5013,,,,,,,0
BR7008,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,684,49,5,54,,,,0
BR7019,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_REFERENCE_NOT_LIVE,DATABASE row is not exposed by the fresh live DWR table.,yes,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,610,,,,,,,0
BR7021,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,108,2,0,2,,,,0
BR7022,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,617,40,3,43,,,,0
BR7108,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,,684,25,2,27,,,,0
BR7126,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,,108,6,0,6,,,,0
BR7127,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,,617,25,2,27,,,,0
BR7208,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,,684,6,,6,,,,0
BR7238,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,,108,2,0,2,,,,0
BR7239,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,,617,6,0,6,,,,0
BR7307,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,La Sal,Black Bear,Either Sex,Multiseason,Multiseason - Conservation,,684,,,4,,,,1
BR7324,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Multiseason,Conservation,,610,,,1,,,,1
BR7326,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal Mtns,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,,617,13,1,14,,,,0
CG9999,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CLOSED_CURRENT_STATEWIDE_UNLIMITED,CG9999 is current statewide/unlimited cougar; no numbered quota expected.,yes,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,Statewide Permit,5107,,,unlimited,,,,0
DA1009,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,Antlerless,169,,,25,,,,0
DA1018,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,Antlerless,840,,,20,,,,0
