"local_path","size_bytes","size_mb","git_tracked","r2_bucket","r2_key","r2_uri","public_url_candidate","uploaded_at"
"audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T214103Z.csv","370265989","353.11","False","uoga-data","hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T214103Z.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T214103Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T214103Z.csv","2026-06-20T20:47:53"
"audits/2019_promote_truth_surfaces/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2019_long_hunt_names.20260620T205824Z.csv","370152417","353","False","uoga-data","hunt-builder/large-files/audits/2019_promote_truth_surfaces/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2019_long_hunt_names.20260620T205824Z.csv","r2://uoga-data/hunt-builder/large-files/audits/2019_promote_truth_surfaces/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2019_long_hunt_names.20260620T205824Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/2019_promote_truth_surfaces/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2019_long_hunt_names.20260620T205824Z.csv","2026-06-20T20:48:03"
"audits/truth_cross_year/final_yearly_canonical_audit/2020_for_2021/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2020_long_hunt_names.20260620T211551Z.csv","370152417","353","False","uoga-data","hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2020_for_2021/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2020_long_hunt_names.20260620T211551Z.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2020_for_2021/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2020_long_hunt_names.20260620T211551Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2020_for_2021/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2020_long_hunt_names.20260620T211551Z.csv","2026-06-20T20:48:13"
"audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.append_2026_reconcil.20260619_032746.csv","369414313","352.3","False","uoga-data","hunt-builder/large-files/audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.append_2026_reconcil.20260619_032746.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.append_2026_reconcil.20260619_032746.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.append_2026_reconcil.20260619_032746.csv","2026-06-20T20:48:23"
"audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.append_2026_reconcil.20260619_032544.csv","369414313","352.3","False","uoga-data","hunt-builder/large-files/audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.append_2026_reconcil.20260619_032544.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.append_2026_reconcil.20260619_032544.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.append_2026_reconcil.20260619_032544.csv","2026-06-20T20:48:33"
"audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.backup_before_append_2026_reconciled_slice_20260619_032456.csv","369414313","352.3","False","uoga-data","hunt-builder/large-files/audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.backup_before_append_2026_reconciled_slice_20260619_032456.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.backup_before_append_2026_reconciled_slice_20260619_032456.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_document_audit/reconcile_finalized_vs_long_and_sync_2026/backups/draw_results_long.backup_before_append_2026_reconciled_slice_20260619_032456.csv","2026-06-20T20:48:43"
"audits/2019_promote_truth_surfaces/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2019_long_hunt_names.20260620T205744Z.csv","369414313","352.3","False","uoga-data","hunt-builder/large-files/audits/2019_promote_truth_surfaces/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2019_long_hunt_names.20260620T205744Z.csv","r2://uoga-data/hunt-builder/large-files/audits/2019_promote_truth_surfaces/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2019_long_hunt_names.20260620T205744Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/2019_promote_truth_surfaces/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2019_long_hunt_names.20260620T205744Z.csv","2026-06-20T20:48:54"
"audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T232804Z.csv","367905377","350.86","False","uoga-data","hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T232804Z.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T232804Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T232804Z.csv","2026-06-20T20:49:04"
"audits/truth_cross_year/final_yearly_canonical_audit/draw_results_long_rebuilt_from_canonical_yearly_DRYRUN.csv","367905377","350.86","False","uoga-data","hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/draw_results_long_rebuilt_from_canonical_yearly_DRYRUN.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/draw_results_long_rebuilt_from_canonical_yearly_DRYRUN.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/draw_results_long_rebuilt_from_canonical_yearly_DRYRUN.csv","2026-06-20T20:49:13"
"audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T214309Z.csv","367905377","350.86","False","uoga-data","hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T214309Z.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T214309Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_cross_year/final_yearly_canonical_audit/2021_for_2022/promote_canonical_hunt_names/backups/draw_results_long.before_promote_2021_long_hunt_names.20260620T214309Z.csv","2026-06-20T20:49:24"
