hunt_code,year,residency,points,eligible_applicants,total_drawn,bonus_permits,regular_permits,total_permits,status,success_ratio,hunt_name,source_file,page_number,p_draw_percent
BI6500,2025,Resident,30,2,1,1,0,1,,1 in 2.0,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,50.0
BI6500,2025,Resident,30,2,1,1,0,1,,1 in 2.0,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,50.0
BI6500,2025,Resident,29,3,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,29,3,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,28,12,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,28,12,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,27,15,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,27,15,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,26,24,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,26,24,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,25,24,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,25,24,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,24,33,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,24,33,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,23,41,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,23,41,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,22,38,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,22,38,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,21,36,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,21,36,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,20,39,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,20,39,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,19,30,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,19,30,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,18,48,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,18,48,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,17,39,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,17,39,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,16,36,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,16,36,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,15,54,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,15,54,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,14,54,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,14,54,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,13,63,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,13,63,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,12,88,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,12,88,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,11,67,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,11,67,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,10,93,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,10,93,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
