source_year,target_year,family,source_years_used,future_year_detected,current_year_authority_file_used,hardcoded_2026_field_required,leakage_status
2018,2019,preference_general_deer,2018,false,false,false,PASS
2018,2019,dedicated_hunter,2018,false,false,false,PASS
2018,2019,preference_antlerless_deer,2018,false,false,false,PASS
2018,2019,preference_antlerless_elk,2018,false,false,false,PASS
2018,2019,preference_doe_pronghorn,2018,false,false,false,PASS
2018,2019,sportsman,2018,false,false,false,PASS
2018,2019,bonus_bear,2018,false,false,false,PASS
2018,2019,youth_turkey,,false,false,false,PASS
2018,2019,youth_draw,2018,false,false,false,PASS
2019,2020,preference_general_deer,2019,false,false,false,PASS
2019,2020,dedicated_hunter,2019,false,false,false,PASS
2019,2020,preference_antlerless_deer,2019,false,false,false,PASS
2019,2020,preference_antlerless_elk,2019,false,false,false,PASS
2019,2020,preference_doe_pronghorn,2019,false,false,false,PASS
2019,2020,sportsman,2019,false,false,false,PASS
2019,2020,bonus_bear,2018;2019,false,false,false,PASS
2019,2020,youth_turkey,2019,false,false,false,PASS
2019,2020,youth_draw,2018;2019,false,false,false,PASS
2020,2021,preference_general_deer,2020,false,false,false,PASS
2020,2021,dedicated_hunter,2020,false,false,false,PASS
2020,2021,preference_antlerless_deer,2020,false,false,false,PASS
2020,2021,preference_antlerless_elk,2020,false,false,false,PASS
2020,2021,preference_doe_pronghorn,2020,false,false,false,PASS
2020,2021,sportsman,2020,false,false,false,PASS
2020,2021,bonus_bear,2018;2019;2020,false,false,false,PASS
2020,2021,youth_turkey,2019;2020,false,false,false,PASS
2020,2021,youth_draw,2018;2019;2020,false,false,false,PASS
2021,2022,preference_general_deer,2021,false,false,false,PASS
2021,2022,dedicated_hunter,2021,false,false,false,PASS
2021,2022,preference_antlerless_deer,2021,false,false,false,PASS
2021,2022,preference_antlerless_elk,2021,false,false,false,PASS
2021,2022,preference_doe_pronghorn,2021,false,false,false,PASS
2021,2022,sportsman,2021,false,false,false,PASS
2021,2022,bonus_bear,2018;2019;2020;2021,false,false,false,PASS
2021,2022,youth_turkey,2019;2020;2021,false,false,false,PASS
2021,2022,youth_draw,2018;2019;2020;2021,false,false,false,PASS
2022,2023,preference_general_deer,2022,false,false,false,PASS
2022,2023,dedicated_hunter,2022,false,false,false,PASS
2022,2023,preference_antlerless_deer,2022,false,false,false,PASS
2022,2023,preference_antlerless_elk,2022,false,false,false,PASS
2022,2023,preference_doe_pronghorn,2022,false,false,false,PASS
2022,2023,sportsman,2022,false,false,false,PASS
2022,2023,bonus_bear,2018;2019;2020;2021;2022,false,false,false,PASS
2022,2023,youth_turkey,2019;2020;2021;2022,false,false,false,PASS
2022,2023,youth_draw,2018;2019;2020;2021;2022,false,false,false,PASS
2023,2024,preference_general_deer,2023,false,false,false,PASS
2023,2024,dedicated_hunter,2023,false,false,false,PASS
2023,2024,preference_antlerless_deer,2023,false,false,false,PASS
2023,2024,preference_antlerless_elk,2023,false,false,false,PASS
2023,2024,preference_doe_pronghorn,2023,false,false,false,PASS
2023,2024,sportsman,2023,false,false,false,PASS
2023,2024,bonus_bear,2018;2019;2020;2021;2022;2023,false,false,false,PASS
2023,2024,youth_turkey,2019;2020;2021;2022;2023,false,false,false,PASS
2023,2024,youth_draw,2018;2019;2020;2021;2022;2023,false,false,false,PASS
2024,2025,preference_general_deer,2024,false,false,false,PASS
2024,2025,dedicated_hunter,2024,false,false,false,PASS
2024,2025,preference_antlerless_deer,2024,false,false,false,PASS
2024,2025,preference_antlerless_elk,2024,false,false,false,PASS
2024,2025,preference_doe_pronghorn,2024,false,false,false,PASS
2024,2025,sportsman,2024,false,false,false,PASS
2024,2025,bonus_bear,2018;2019;2020;2021;2022;2023;2024,false,false,false,PASS
2024,2025,youth_turkey,2019;2020;2021;2022;2023;2024,false,false,false,PASS
2024,2025,youth_draw,2018;2019;2020;2021;2022;2023;2024,false,false,false,PASS
2025,2026,preference_general_deer,2025,false,false,false,PASS
2025,2026,dedicated_hunter,2025,false,false,false,PASS
2025,2026,preference_antlerless_deer,2025,false,false,false,PASS
2025,2026,preference_antlerless_elk,2025,false,false,false,PASS
2025,2026,preference_doe_pronghorn,2025,false,false,false,PASS
2025,2026,sportsman,2025,false,false,false,PASS
2025,2026,bonus_bear,2018;2019;2020;2021;2022;2023;2024;2025,false,false,false,PASS
2025,2026,youth_turkey,2019;2020;2021;2022;2023;2024;2025,false,false,false,PASS
2025,2026,youth_draw,2018;2019;2020;2021;2022;2023;2024;2025,false,false,false,PASS
2026,2027,preference_general_deer,2026,false,false,false,PASS
2026,2027,dedicated_hunter,2026,false,false,false,PASS
2026,2027,preference_antlerless_deer,,false,false,false,PASS
2026,2027,preference_antlerless_elk,,false,false,false,PASS
2026,2027,preference_doe_pronghorn,,false,false,false,PASS
2026,2027,sportsman,2026,false,false,false,PASS
2026,2027,bonus_bear,2018;2019;2020;2021;2022;2023;2024;2025;2026,false,false,false,PASS
2026,2027,youth_turkey,2019;2020;2021;2022;2023;2024;2025;2026,false,false,false,PASS
2026,2027,youth_draw,2018;2019;2020;2021;2022;2023;2024;2025;2026,false,false,false,PASS
