source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_DEER_BUCK_DRAW.xlsx,Sheet,Southeastern Navajo Buck Deer,DB0001,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Southeastern Navajo Buck Deer,DB0002,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Southeastern Navajo Buck Deer,DB0003,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Southern Navajo Buck Deer,DB0004,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Southern Navajo Buck Deer,DB0005,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Southern Navajo Buck Deer,DB0006,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Buck Deer - Statewide Permit,DB0007,Buck,Deer,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,,O.T.C.,100,,,8.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Antelope Island - Conservation/Expo,DB0009,Buck,Deer,Any Legal Weapon,Premium Limited Entry,"Nov 9, 2026 - Nov 16, 2026",,,,MAX / RANDOM DRAW,100,,,2
2026_DEER_BUCK_DRAW.xlsx,Sheet,Southern Paiute Buck Deer (early),DB0010,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Southern Paiute Buck Deer,DB0011,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,MAX / RANDOM DRAW,,,,
