source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,"Beaver, West",LO1614,Buck,Deer,Archery,General Season - Private Land Only,Aug 16 2025 - Sept 12 2025 - PRIVATE LAND ONLY,,,,O.T.C.,100,,,7
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,"Beaver, West",LO1615,Buck,Deer,Restricted Muzzleloader,General Season - Private Land Only,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,"Beaver, West",LO1616,Buck,Deer,Restricted Rifle,General Season - Private Land Only,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,O.T.C.,33.3,,,3.7
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,"West Desert, Swasey",LO1617,Buck,Deer,Archery,General Season - Private Land Only,Aug 16 2025 - Sept 12 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,"West Desert, Swasey",LO1618,Buck,Deer,Muzzleloader,General Season - Private Land Only,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,"West Desert, Swasey",LO1619,Buck,Deer,Any Legal Weapon (Late),General Season - Private Land Only,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,O.T.C.,100,,,4
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Oquirrh/Tintic,LO1620,Buck,Deer,Archery,General Season - Private Land Only,Aug 16 2025 - Sept 12 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Oquirrh/Tintic,LO1621,Buck,Deer,Muzzleloader,General Season - Private Land Only,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Oquirrh/Tintic,LO1622,Buck,Deer,Any Legal Weapon (Late),General Season - Private Land Only,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,O.T.C.,100,,,2.6
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Cedar/Stansbury,LO1623,Buck,Deer,Archery,General Season - Private Land Only,Aug 16 2025 - Sept 12 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Cedar/Stansbury,LO1624,Buck,Deer,Muzzleloader,General Season - Private Land Only,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Cedar/Stansbury,LO1625,Buck,Deer,Any Legal Weapon (Late),General Season - Private Land Only,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,O.T.C.,0,,,8
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Cache,LO1627,Buck,Deer,Restricted Rifle,General Season - Private Land Only,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,O.T.C.,75,,,4.4
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Cache,LO1628,Buck,Deer,Restricted Muzzleloader,General Season - Private Land Only,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Boulder/Kaiparowits,LO1629,Buck,Deer,Restricted Rifle,General Season - Private Land Only,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Boulder/Kaiparowits,LO1630,Buck,Deer,Restricted Muzzleloader,General Season - Private Land Only,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,,O.T.C.,,,,
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,Sheet,Box Elder,LO1631,Buck,Deer,Any Legal Weapon (Early),General Season - Private Land Only,Oct 08 2025 - Oct 12 2025 - PRIVATE LAND ONLY,,,,O.T.C.,0,,,3.5
