source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_ELK_BULL_ALL.xlsx,Sheet,Elk - Statewide Permit,EB1000,Bull,Elk,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,,O.T.C.,100,,,26
2026_ELK_BULL_ALL.xlsx,Sheet,Any Bull Elk Units,EB1001,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Oct 04 2025 - Oct 10 2025,,,,O.T.C.,15,,,3.9
2026_ELK_BULL_ALL.xlsx,Sheet,Any Bull Elk Units,EB1002,Bull,Elk,Muzzleloader,General Season - Any Bull,Oct 29 2025 - Nov 06 2025,,,,O.T.C.,15.5,,,4.6
2026_ELK_BULL_ALL.xlsx,Sheet,Spike Only Units,EB1003,Bull,Elk,Any Legal Weapon,General Season - Spike Bull,Oct 04 2025 - Oct 16 2025,,,,O.T.C.,15.6,,,4.8
2026_ELK_BULL_ALL.xlsx,Sheet,Spike Only Units,EB1004,Bull,Elk,Muzzleloader,General Season - Spike Bull,Oct 29 2025 - Nov 06 2025,,,,O.T.C.,13.4,,,4.6
2026_ELK_BULL_ALL.xlsx,Sheet,Archery Hunters Choice Elk,EB1005,Bull,Elk,Archery,General Season - Archery,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery)",,,,O.T.C.,11.8,,,7.9
2026_ELK_BULL_ALL.xlsx,Sheet,Draw-only Youth Any Bull/Hunters Choice Elk,EB1007,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Sept 12 2026 - Sept 22 2026,,,750,O.T.C.,42.2,,,4.5
2026_ELK_BULL_ALL.xlsx,Sheet,Spike Only Elk Units - Multiseason,EB1009,Bull,Elk,Multiseason,General Season - Spike Bull,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 | ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",,,,O.T.C.,25.1,,,8.9
2026_ELK_BULL_ALL.xlsx,Sheet,Any Bull Elk Units,EB1010,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Oct 11 2025 - Oct 17 2025,,,,O.T.C.,14.5,,,4
2026_ELK_BULL_ALL.xlsx,Sheet,Youth General Season Bull Elk,EB1011,Bull,Elk,Any Legal Weapon,General Season - Youth,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,,,,O.T.C.,17.5,,,5.7
2026_ELK_BULL_ALL.xlsx,Sheet,Uinta Basin Private Lands Any Bull Elk,EB1012,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Aug 01 2025 - Nov 15 2025 - Valid only on private property within the unit,,,500,O.T.C.,55.1,,,9.9
2026_ELK_BULL_ALL.xlsx,Sheet,Beaver East,EB3000,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,22,3,25,MAX / RANDOM DRAW,76.9,9.6,9.1,12.8
2026_ELK_BULL_ALL.xlsx,Sheet,Book Cliffs Little Creek Roadless,EB3002,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,4,0,4,MAX / RANDOM DRAW,66.7,8.7,7.7,6.7
2026_ELK_BULL_ALL.xlsx,Sheet,Cache Meadowville,EB3003,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,9,1,10,MAX / RANDOM DRAW,20,5.2,5.5,8.4
2026_ELK_BULL_ALL.xlsx,Sheet,Cache South,EB3005,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,10,1,11,MAX / RANDOM DRAW,40,7.2,6.7,9.9
2026_ELK_BULL_ALL.xlsx,Sheet,Manti,EB3006,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,148,17,165,MAX / RANDOM DRAW,30.4,6,6.3,13.9
2026_ELK_BULL_ALL.xlsx,Sheet,Fillmore Pahvant,EB3008,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,19,2,21,MAX / RANDOM DRAW,31.8,8,8.1,13
2026_ELK_BULL_ALL.xlsx,Sheet,La Sal Mtns,EB3009,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,36,4,40,MAX / RANDOM DRAW,41.5,6.3,6.2,11.4
2026_ELK_BULL_ALL.xlsx,Sheet,Monroe,EB3010,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,10,1,11,MAX / RANDOM DRAW,100,8.3,8.3,5
2026_ELK_BULL_ALL.xlsx,Sheet,Mt Dutton,EB3011,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,19,2,21,MAX / RANDOM DRAW,38.1,8,7.8,14.3
