source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_ELK_BULL_CWMU.xlsx,Sheet,Alton CWMU,EB3500,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,80,,,4
2026_ELK_BULL_CWMU.xlsx,Sheet,Bar J Ranch CWMU,EB3501,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,2,MAX / RANDOM DRAW,100,,,3.4
2026_ELK_BULL_CWMU.xlsx,Sheet,Bear Mountain CWMU,EB3502,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,8.3
2026_ELK_BULL_CWMU.xlsx,Sheet,Bear Springs CWMU,EB3503,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,75,,,4.5
2026_ELK_BULL_CWMU.xlsx,Sheet,Blackhawk CWMU,EB3504,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,3.5
2026_ELK_BULL_CWMU.xlsx,Sheet,Boobe Hole CWMU,EB3505,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,2,MAX / RANDOM DRAW,100,,,4.4
2026_ELK_BULL_CWMU.xlsx,Sheet,Causey Spring CWMU,EB3506,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,54.5,,,4.4
2026_ELK_BULL_CWMU.xlsx,Sheet,Chimney Rock CWMU,EB3508,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,2,MAX / RANDOM DRAW,100,,,3
2026_ELK_BULL_CWMU.xlsx,Sheet,Coldwater Ranch CWMU,EB3509,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,3,0,3,MAX / RANDOM DRAW,95.5,,,2.9
2026_ELK_BULL_CWMU.xlsx,Sheet,Cotton Thomas CWMU,EB3511,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,66.7,,,4
2026_ELK_BULL_CWMU.xlsx,Sheet,Deseret CWMU,EB3514,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,19,0,19,MAX / RANDOM DRAW,89,,,3.4
2026_ELK_BULL_CWMU.xlsx,Sheet,Double Cone CWMU,EB3515,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,4
2026_ELK_BULL_CWMU.xlsx,Sheet,Durst Mountain CWMU,EB3516,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,3,0,3,MAX / RANDOM DRAW,55,,,3.8
2026_ELK_BULL_CWMU.xlsx,Sheet,East Fork Chalk Creek CWMU,EB3517,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,3,0,3,MAX / RANDOM DRAW,50,,,9.2
2026_ELK_BULL_CWMU.xlsx,Sheet,Ensign Ranches CWMU,EB3519,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,6,0,6,MAX / RANDOM DRAW,100,,,3.6
2026_ELK_BULL_CWMU.xlsx,Sheet,Folley Ridge CWMU,EB3520,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,2,MAX / RANDOM DRAW,94.7,,,3.1
2026_ELK_BULL_CWMU.xlsx,Sheet,Grass Valley/Clark Canyon CWMU,EB3521,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,10,0,10,MAX / RANDOM DRAW,75.3,,,3.8
