source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,Mountain Goat - Statewide Permit,GO1000,Hunters Choice,Mountain Goat,Any Legal Weapon,Statewide,"Sept 1 - Dec 31, 2026",,,,O.T.C.,100,,,1
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,Beaver,GO6800,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Sept 27 2026,7,2,9,MAX / RANDOM DRAW,100,4.6,,3
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,Beaver,GO6801,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 28 2026 - Oct 26 2026,9,0,9,MAX / RANDOM DRAW,88.9,4.6,,4.1
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,Nebo,GO6803,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 26 2026 - Nov 25 2026,21,3,24,MAX / RANDOM DRAW,89.5,3.9,,6.3
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,High Uintas Kamas,GO6804,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,1,0,1,MAX / RANDOM DRAW,100,1,,7
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,High Uintas Central,GO6805,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,5,0,5,MAX / RANDOM DRAW,80,4.9,,3.8
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,High Uintas East,GO6806,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,3,0,3,MAX / RANDOM DRAW,100,4.9,,2.5
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,High Uintas Leidy Peak,GO6807,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,2,0,2,MAX / RANDOM DRAW,100,4.9,,6
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,High Uintas West,GO6808,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,9,2,11,MAX / RANDOM DRAW,83.3,4.9,,7.7
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,"Ogden, Willard Peak",GO6810,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,1,0,1,MAX / RANDOM DRAW,100,3,,1
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,"Wasatch Mtns, Provo Peak",GO6813,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,5,0,5,MAX / RANDOM DRAW,100,3.5,,4
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,Mt Dutton,GO6814,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,2,0,2,MAX / RANDOM DRAW,100,7,,11.5
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,La Sal Mtns,GO6817,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,10,2,12,MAX / RANDOM DRAW,91.7,6.7,,4
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,"Wasatch Mtns, Box Elder Peak",GO6818,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,3,0,3,MAX / RANDOM DRAW,100,3.5,,2.3
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,"Wasatch Mtns, Lone Peak",GO6819,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,1,0,1,MAX / RANDOM DRAW,100,3.5,,3
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,"Wasatch Mtns, Timpanogos",GO6820,Hunters Choice,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,8,2,10,MAX / RANDOM DRAW,90,3.5,,5.4
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,Nebo,GO6821,Hunters Choice,Mountain Goat,Archery,Once-in-a-lifetime,Sept 16 2026 - Sept 25 2026,12,0,12,MAX / RANDOM DRAW,90.9,3.9,,2.7
2026_GOAT_HUNTER_CHOICE.xlsx,Sheet,Beaver,GO6822,Hunters Choice,Mountain Goat,Archery,Once-in-a-lifetime,Nov 14 2026 - Nov 23 2026,2,0,2,MAX / RANDOM DRAW,0,4.6,,9
