source_year,hunt_code,residency,points,species,hunt_name,weapon,public_permits_2025,max_point_permits_2025,random_permits_2025,guaranteed_at_2025,applicants_2025,odds_2025_actual,odds_2025_actual_pct,source_layer,source_origin
2025,BI6500,Resident,32,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,31,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,30,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,2,1 in 2.0,50.000,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,29,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,3,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,28,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,12,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,27,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,15,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,26,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,24,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,25,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,24,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,24,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,33,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,23,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,41,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,22,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,38,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,21,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,36,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,20,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,39,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,19,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,30,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,18,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,48,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,17,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,39,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,16,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,36,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,15,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,54,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,14,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,54,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,13,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,63,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,12,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,88,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,11,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,67,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,10,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,93,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,9,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,109,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,8,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,155,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,7,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,157,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,6,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,181,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,5,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,182,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,4,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,255,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,3,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,254,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,2,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,286,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,1,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,342,1 in 342.0,0.292,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Resident,0,Bison,Antelope Island,Any Legal Weapon,2,1,1,31,489,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,32,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,31,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
