hunt_code,residency,user_points,gap,status,trend,guaranteed_at_2026,guaranteed_at_2025,projected_draw_odds,hunt_point_summary_title,hunt_point_summary_guaranteed,hunt_point_summary_points,hunt_point_summary_status,hunt_point_summary_odds,hunt_point_summary_trend
BI6500,Resident,32,-1,DRAWING IN MAX POOL,YELLOW,31,31,100.000,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 32 pts,Status: 1 pts above guaranteed,Estimated Draw Odds: 100.000% from remaining pool,Trend: YELLOW
BI6500,Resident,31,0,DRAWING IN MAX POOL,YELLOW,31,31,50.075,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 31 pts,Status: At guaranteed,Estimated Draw Odds: 50.075% from remaining pool,Trend: YELLOW
BI6500,Resident,30,1,ON THE EDGE,YELLOW,31,31,0.102,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 30 pts,Status: 1 pts short of guaranteed,Estimated Draw Odds: 0.102% from remaining pool,Trend: YELLOW
BI6500,Resident,29,2,BEHIND CURVE,YELLOW,31,31,0.110,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 29 pts,Status: 2 pts short of guaranteed,Estimated Draw Odds: 0.110% from remaining pool,Trend: YELLOW
BI6500,Resident,28,3,BEHIND CURVE,YELLOW,31,31,0.110,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 28 pts,Status: 3 pts short of guaranteed,Estimated Draw Odds: 0.110% from remaining pool,Trend: YELLOW
BI6500,Resident,27,4,BEHIND CURVE,YELLOW,31,31,0.122,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 27 pts,Status: 4 pts short of guaranteed,Estimated Draw Odds: 0.122% from remaining pool,Trend: YELLOW
BI6500,Resident,26,5,BEHIND CURVE,YELLOW,31,31,0.108,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 26 pts,Status: 5 pts short of guaranteed,Estimated Draw Odds: 0.108% from remaining pool,Trend: YELLOW
BI6500,Resident,25,6,BEHIND CURVE,YELLOW,31,31,0.100,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 25 pts,Status: 6 pts short of guaranteed,Estimated Draw Odds: 0.100% from remaining pool,Trend: YELLOW
BI6500,Resident,24,7,BEHIND CURVE,YELLOW,31,31,0.078,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 24 pts,Status: 7 pts short of guaranteed,Estimated Draw Odds: 0.078% from remaining pool,Trend: YELLOW
BI6500,Resident,23,8,BEHIND CURVE,YELLOW,31,31,0.090,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 23 pts,Status: 8 pts short of guaranteed,Estimated Draw Odds: 0.090% from remaining pool,Trend: YELLOW
BI6500,Resident,22,9,BEHIND CURVE,YELLOW,31,31,0.082,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 22 pts,Status: 9 pts short of guaranteed,Estimated Draw Odds: 0.082% from remaining pool,Trend: YELLOW
BI6500,Resident,21,10,BEHIND CURVE,YELLOW,31,31,0.074,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 21 pts,Status: 10 pts short of guaranteed,Estimated Draw Odds: 0.074% from remaining pool,Trend: YELLOW
BI6500,Resident,20,11,BEHIND CURVE,YELLOW,31,31,0.064,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 20 pts,Status: 11 pts short of guaranteed,Estimated Draw Odds: 0.064% from remaining pool,Trend: YELLOW
BI6500,Resident,19,12,BEHIND CURVE,YELLOW,31,31,0.066,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 19 pts,Status: 12 pts short of guaranteed,Estimated Draw Odds: 0.066% from remaining pool,Trend: YELLOW
BI6500,Resident,18,13,BEHIND CURVE,YELLOW,31,31,0.064,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 18 pts,Status: 13 pts short of guaranteed,Estimated Draw Odds: 0.064% from remaining pool,Trend: YELLOW
BI6500,Resident,17,14,BEHIND CURVE,YELLOW,31,31,0.060,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 17 pts,Status: 14 pts short of guaranteed,Estimated Draw Odds: 0.060% from remaining pool,Trend: YELLOW
BI6500,Resident,16,15,BEHIND CURVE,YELLOW,31,31,0.052,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 16 pts,Status: 15 pts short of guaranteed,Estimated Draw Odds: 0.052% from remaining pool,Trend: YELLOW
BI6500,Resident,15,16,BEHIND CURVE,YELLOW,31,31,0.064,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 15 pts,Status: 16 pts short of guaranteed,Estimated Draw Odds: 0.064% from remaining pool,Trend: YELLOW
BI6500,Resident,14,17,BEHIND CURVE,YELLOW,31,31,0.034,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 14 pts,Status: 17 pts short of guaranteed,Estimated Draw Odds: 0.034% from remaining pool,Trend: YELLOW
BI6500,Resident,13,18,BEHIND CURVE,YELLOW,31,31,0.032,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 13 pts,Status: 18 pts short of guaranteed,Estimated Draw Odds: 0.032% from remaining pool,Trend: YELLOW
