identity_key,actual_draw_year,model_target_year,hunt_code,species,sex_type,weapon,boundary_id,hunt_name,hunt_type,draw_design,season,source_row_count,source_files,identity_status
2019|BI1000|bison|either sex|any legal weapon,2019,2020,BI1000,Bison,Either Sex,Any Legal Weapon,5000,Sportsman Bison,Sportsman,Random,,1,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BI6500|bison|hunters choice|any legal weapon,2019,2020,BI6500,Bison,Hunters Choice,Any Legal Weapon,1,Antelope Island,Once-in-a-Lifetime,Max/Weighted Split,,28,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BI6503|bison|hunters choice|any legal weapon,2019,2020,BI6503,Bison,Hunters Choice,Any Legal Weapon,94,Henry Mtns,Once-in-a-Lifetime,Max/Weighted Split,,28,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BI6504|bison|hunters choice|any legal weapon,2019,2020,BI6504,Bison,Hunters Choice,Any Legal Weapon,94,Henry Mtns,Once-in-a-Lifetime,Max/Weighted Split,,28,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BI6505|bison|cow only|any legal weapon,2019,2020,BI6505,Bison,Cow Only,Any Legal Weapon,94,Henry Mtns,Once-in-a-Lifetime,Max/Weighted Split,,28,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BI6506|bison|cow only|any legal weapon,2019,2020,BI6506,Bison,Cow Only,Any Legal Weapon,94,Henry Mtns,Once-in-a-Lifetime,Max/Weighted Split,,28,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BI6509|bison|hunters choice|archery,2019,2020,BI6509,Bison,Hunters Choice,Archery,94,Henry Mtns,Once-in-a-Lifetime,Max/Weighted Split,,28,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BI6516|bison|hunters choice|any legal weapon,2019,2020,BI6516,Bison,Hunters Choice,Any Legal Weapon,94,Henry Mtns,Once-in-a-Lifetime,Max/Weighted Split,,28,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR1000|black bear|either sex|any legal weapon,2019,2020,BR1000,Black Bear,Either Sex,Any Legal Weapon,5001,Sportsman Black Bear,Sportsman,Random,,1,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR1008|black bear|either sex|pursuit,2019,2020,BR1008,Black Bear,Either Sex,Pursuit,7,Book Cliffs - Pursuit,O.T.C.,Capped Permits,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR1009|black bear|either sex|pursuit,2019,2020,BR1009,Black Bear,Either Sex,Pursuit,684,La Sal - Pursuit,O.T.C.,Capped Permits,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR1010|black bear|either sex|pursuit,2019,2020,BR1010,Black Bear,Either Sex,Pursuit,710,San Juan - Pursuit,O.T.C.,Capped Permits,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR1011|black bear|either sex|pursuit,2019,2020,BR1011,Black Bear,Either Sex,Pursuit,7,Book Cliffs - Pursuit,O.T.C.,Capped Permits,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR1012|black bear|either sex|pursuit,2019,2020,BR1012,Black Bear,Either Sex,Pursuit,684,La Sal - Pursuit,O.T.C.,Capped Permits,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR1013|black bear|either sex|pursuit,2019,2020,BR1013,Black Bear,Either Sex,Pursuit,710,San Juan - Pursuit,O.T.C.,Capped Permits,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7000|black bear|either sex|any legal weapon,2019,2020,BR7000,Black Bear,Either Sex,Any Legal Weapon,628,Beaver,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7001|black bear|either sex|any legal weapon,2019,2020,BR7001,Black Bear,Either Sex,Any Legal Weapon,449,"Book Cliffs, Bitter Creek/south",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7003|black bear|either sex|any legal weapon,2019,2020,BR7003,Black Bear,Either Sex,Any Legal Weapon,52,"Central Mtns, Manti-north",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7004|black bear|either sex|any legal weapon,2019,2020,BR7004,Black Bear,Either Sex,Any Legal Weapon,744,"Central Mtns, Manti-south/san Rafael, north",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7005|black bear|either sex|any legal weapon,2019,2020,BR7005,Black Bear,Either Sex,Any Legal Weapon,616,"Central Mtns, Nebo",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7007|black bear|either sex|any legal weapon,2019,2020,BR7007,Black Bear,Either Sex,Any Legal Weapon,88,"Fillmore, Pahvant",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7008|black bear|either sex|any legal weapon,2019,2020,BR7008,Black Bear,Either Sex,Any Legal Weapon,684,La Sal,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7009|black bear|either sex|any legal weapon,2019,2020,BR7009,Black Bear,Either Sex,Any Legal Weapon,630,Mt Dutton,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7010|black bear|either sex|any legal weapon,2019,2020,BR7010,Black Bear,Either Sex,Any Legal Weapon,462,Panguitch Lake/zion,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7011|black bear|either sex|any legal weapon,2019,2020,BR7011,Black Bear,Either Sex,Any Legal Weapon,163,Paunsaugunt,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7012|black bear|either sex|any legal weapon,2019,2020,BR7012,Black Bear,Either Sex,Any Legal Weapon,455,"Plateau, Boulder/kaiparowits",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7013|black bear|either sex|any legal weapon,2019,2020,BR7013,Black Bear,Either Sex,Any Legal Weapon,175,"Plateau, Fishlake/thousand Lakes",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7014|black bear|either sex|any legal weapon,2019,2020,BR7014,Black Bear,Either Sex,Any Legal Weapon,710,San Juan,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7015|black bear|either sex|any legal weapon,2019,2020,BR7015,Black Bear,Either Sex,Any Legal Weapon,444,"South Slope, Bonanza/diamond Mtn/vernal",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7016|black bear|either sex|any legal weapon,2019,2020,BR7016,Black Bear,Either Sex,Any Legal Weapon,845,"Wasatch Mtns, West-central",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7017|black bear|either sex|any legal weapon,2019,2020,BR7017,Black Bear,Either Sex,Any Legal Weapon,92,Cache/ogden,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7018|black bear|either sex|any legal weapon,2019,2020,BR7018,Black Bear,Either Sex,Any Legal Weapon,251,"Kamas/north Slope, Summit",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7100|black bear|either sex|any legal weapon,2019,2020,BR7100,Black Bear,Either Sex,Any Legal Weapon,628,Beaver,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7101|black bear|either sex|any legal weapon,2019,2020,BR7101,Black Bear,Either Sex,Any Legal Weapon,449,"Book Cliffs, Bitter Creek/south",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7102|black bear|either sex|any legal weapon,2019,2020,BR7102,Black Bear,Either Sex,Any Legal Weapon,12,"Book Cliffs, Little Creek Roadless",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7104|black bear|either sex|any legal weapon,2019,2020,BR7104,Black Bear,Either Sex,Any Legal Weapon,52,"Central Mtns, Manti-north",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7105|black bear|either sex|any legal weapon,2019,2020,BR7105,Black Bear,Either Sex,Any Legal Weapon,744,"Central Mtns, Manti-south/san Rafael, north",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7106|black bear|either sex|any legal weapon,2019,2020,BR7106,Black Bear,Either Sex,Any Legal Weapon,616,"Central Mtns, Nebo",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7108|black bear|either sex|any legal weapon,2019,2020,BR7108,Black Bear,Either Sex,Any Legal Weapon,684,La Sal,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7109|black bear|either sex|any legal weapon,2019,2020,BR7109,Black Bear,Either Sex,Any Legal Weapon,630,Mt Dutton,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7110|black bear|either sex|any legal weapon,2019,2020,BR7110,Black Bear,Either Sex,Any Legal Weapon,615,Nine Mile,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7111|black bear|either sex|any legal weapon,2019,2020,BR7111,Black Bear,Either Sex,Any Legal Weapon,289,"North Slope, Three Corners/west Daggett",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7112|black bear|either sex|any legal weapon,2019,2020,BR7112,Black Bear,Either Sex,Any Legal Weapon,462,Panguitch Lake/zion,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7113|black bear|either sex|any legal weapon,2019,2020,BR7113,Black Bear,Either Sex,Any Legal Weapon,163,Paunsaugunt,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7114|black bear|either sex|any legal weapon,2019,2020,BR7114,Black Bear,Either Sex,Any Legal Weapon,455,"Plateau, Boulder/kaiparowits",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7115|black bear|either sex|any legal weapon,2019,2020,BR7115,Black Bear,Either Sex,Any Legal Weapon,175,"Plateau, Fishlake/thousand Lakes",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7116|black bear|either sex|any legal weapon,2019,2020,BR7116,Black Bear,Either Sex,Any Legal Weapon,710,San Juan,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7117|black bear|either sex|any legal weapon,2019,2020,BR7117,Black Bear,Either Sex,Any Legal Weapon,444,"South Slope, Bonanza/diamond Mtn/vernal",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7118|black bear|either sex|any legal weapon,2019,2020,BR7118,Black Bear,Either Sex,Any Legal Weapon,613,"South Slope, Yellowstone",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7119|black bear|either sex|any legal weapon,2019,2020,BR7119,Black Bear,Either Sex,Any Legal Weapon,463,"Wasatch Mtns, Avintaquin/currant Creek",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7120|black bear|either sex|any legal weapon,2019,2020,BR7120,Black Bear,Either Sex,Any Legal Weapon,448,"Wasatch Mtns, West-central",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7121|black bear|either sex|any legal weapon,2019,2020,BR7121,Black Bear,Either Sex,Any Legal Weapon,92,Cache/ogden,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7122|black bear|either sex|any legal weapon,2019,2020,BR7122,Black Bear,Either Sex,Any Legal Weapon,93,Chalk Creek/east Canyon/morgan-south Rich,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7123|black bear|either sex|any legal weapon,2019,2020,BR7123,Black Bear,Either Sex,Any Legal Weapon,251,"Kamas/north Slope, Summit",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7200|black bear|either sex|any legal weapon,2019,2020,BR7200,Black Bear,Either Sex,Any Legal Weapon,628,Beaver,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7201|black bear|either sex|any legal weapon,2019,2020,BR7201,Black Bear,Either Sex,Any Legal Weapon,449,"Book Cliffs, Bitter Creek/south",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7203|black bear|either sex|any legal weapon,2019,2020,BR7203,Black Bear,Either Sex,Any Legal Weapon,52,"Central Mtns, Manti-north",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7204|black bear|either sex|any legal weapon,2019,2020,BR7204,Black Bear,Either Sex,Any Legal Weapon,744,"Central Mtns, Manti-south/san Rafael, north",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7205|black bear|either sex|any legal weapon,2019,2020,BR7205,Black Bear,Either Sex,Any Legal Weapon,616,"Central Mtns, Nebo",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7207|black bear|either sex|any legal weapon,2019,2020,BR7207,Black Bear,Either Sex,Any Legal Weapon,88,"Fillmore, Pahvant",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7208|black bear|either sex|any legal weapon,2019,2020,BR7208,Black Bear,Either Sex,Any Legal Weapon,684,La Sal,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7210|black bear|either sex|any legal weapon,2019,2020,BR7210,Black Bear,Either Sex,Any Legal Weapon,630,Mt Dutton,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7211|black bear|either sex|any legal weapon,2019,2020,BR7211,Black Bear,Either Sex,Any Legal Weapon,615,Nine Mile,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7212|black bear|either sex|any legal weapon,2019,2020,BR7212,Black Bear,Either Sex,Any Legal Weapon,289,"North Slope, Three Corners/west Daggett",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7213|black bear|either sex|any legal weapon,2019,2020,BR7213,Black Bear,Either Sex,Any Legal Weapon,462,Panguitch Lake/zion,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7214|black bear|either sex|any legal weapon,2019,2020,BR7214,Black Bear,Either Sex,Any Legal Weapon,163,Paunsaugunt,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7215|black bear|either sex|any legal weapon,2019,2020,BR7215,Black Bear,Either Sex,Any Legal Weapon,455,"Plateau, Boulder/kaiparowits",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7216|black bear|either sex|any legal weapon,2019,2020,BR7216,Black Bear,Either Sex,Any Legal Weapon,175,"Plateau, Fishlake/thousand Lakes",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7217|black bear|either sex|any legal weapon,2019,2020,BR7217,Black Bear,Either Sex,Any Legal Weapon,710,San Juan,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7218|black bear|either sex|any legal weapon,2019,2020,BR7218,Black Bear,Either Sex,Any Legal Weapon,444,"South Slope, Bonanza/diamond Mtn/vernal",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7219|black bear|either sex|any legal weapon,2019,2020,BR7219,Black Bear,Either Sex,Any Legal Weapon,613,"South Slope, Yellowstone",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7220|black bear|either sex|any legal weapon,2019,2020,BR7220,Black Bear,Either Sex,Any Legal Weapon,463,"Wasatch Mtns, Avintaquin/currant Creek",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7221|black bear|either sex|any legal weapon,2019,2020,BR7221,Black Bear,Either Sex,Any Legal Weapon,448,"Wasatch Mtns, West-central",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7224|black bear|either sex|any legal weapon,2019,2020,BR7224,Black Bear,Either Sex,Any Legal Weapon,12,"Book Cliffs, Little Creek Roadless",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7225|black bear|either sex|any legal weapon,2019,2020,BR7225,Black Bear,Either Sex,Any Legal Weapon,12,"Book Cliffs, Little Creek Roadless",O.T.C.,Capped Permits,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7228|black bear|either sex|any legal weapon,2019,2020,BR7228,Black Bear,Either Sex,Any Legal Weapon,92,Cache/ogden,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
