hunt_code,residency,hunt_name,species,weapon,hunt_type,access_type,public_permits_2025,public_permits_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,applicants_2025,projected_applicants_2026,max_point_permits_2026,random_permits_2026,guaranteed_at_2026,delta_gap,trend,coverage_status,coverage_reason,bg_odds_pdf_page_index,bg_odds_printed_page,bg_odds_hunt_title,has_bg_odds_page,rac_page,rac_section,source_pdf,harvest_hunters_2025,harvest_2025,harvest_success_percent_2025,harvest_average_days_2025,harvest_satisfaction_2025,source_file_2026,link_key,antlerless_odds_sheet,antlerless_odds_row_start,antlerless_odds_title,has_antlerless_odds_page,has_any_odds_source,permits_2026_source,public_permits_2026_source,permit_status,permit_allocation_type,permit_source_authority,permit_note,permit_overlay_source,data_status,permits_2026_conservation,permits_2026_expo,permits_2026_sportsman,special_permit_area_id,special_permit_category,special_permit_note,special_permit_overlay_source,boundary_id,permits_2025_draw_res,permits_2025_draw_nr,permits_2025_draw_total,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_source,permits_2025_source,draw_pool,permit_source,quota_source,truth_source_file,truth_source_status,data_quality_grade,reason_codes,hunt_category,draw_model_class,probability_model,availability_status,new_this_year,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source
BI1000,Nonresident,Bison - Statewide Permit,Bison,Any Legal Weapon,Statewide,Public,,0,1,0,1,1,0,1,,,,,,,,CONTEXT_ONLY,excluded_special_permit_class,,,,FALSE,,,,2,2,100,1,5,bison bull.xlsx,BI1000_NONRESIDENT,,,,FALSE,FALSE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,,,,,,,,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,standard,,,processed_data/audits/dwr_2026_draw_results_vs_database_allotments.csv,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,,,,,,,,1,0,1,DERIVED_FROM_PUBLISHED_2026_PERMITS_COMPAT,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,1,0,1,REBUILD_2023_DRAW_RESULTS_FOR_2024_MODELING_V2
BI1000,Resident,Statewide,Bison,Any Legal Weapon,Sportsman Permit,Public,,1,1,0,1,1,0,1,,,,,,,,MODELED_ENGINE_GROUP,SPORTSMAN_DRAW,,,Sportsman Bison,TRUE,,,,2,2,100,1,5,bison bull.xlsx,BI1000_RESIDENT_SPORTSMAN,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,5000,,,,,,,,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,sportsman,,,processed_data/audits/dwr_2026_draw_results_vs_database_allotments.csv,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,,,,,,,,1,0,1,DERIVED_FROM_PUBLISHED_2026_PERMITS_COMPAT,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,1,0,1,REBUILD_2023_DRAW_RESULTS_FOR_2024_MODELING_V2
BI1000,Resident,Bison - Statewide Permit,Bison,Any Legal Weapon,Statewide,Public,,1,1,0,1,1,0,1,,,,,,,,CONTEXT_ONLY,excluded_special_permit_class,,,,FALSE,,,,2,2,100,1,5,bison bull.xlsx,BI1000_RESIDENT,,,,FALSE,FALSE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,,,,,,,,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,standard,,,processed_data/audits/dwr_2026_draw_results_vs_database_allotments.csv,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,,,,,,,,1,0,1,DERIVED_FROM_PUBLISHED_2026_PERMITS_COMPAT,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,1,0,1,REBUILD_2023_DRAW_RESULTS_FOR_2024_MODELING_V2
BI6500,Nonresident,Antelope Island,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,0,2,0,2,2,0,2,,,0,0,0,-1,GREEN,MODELED,modeled_engine,535,1,Bison (hunter’s Choice ) - Antelo pe Island - Any Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,2,2,100,1,5,bison bull.xlsx,BI6500_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,2,0,2,535,1,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,standard,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
BI6500,Resident,Antelope Island,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,2,2,2,0,2,2,0,2,,,1,1,31,30,YELLOW,MODELED_ENGINE_GROUP,BONUS_OIL_BIG_GAME,535,1,Bison (hunter’s Choice ) - Antelo pe Island - Any Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,2,2,100,1,5,bison bull.xlsx,BI6500_RESIDENT_MAX/WEIGHTED SPLIT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,1,2,0,2,535,1,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,max/weighted split,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
BI6500,Resident,Antelope Island,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,2,2,2,0,2,2,0,2,,,1,1,31,30,YELLOW,MODELED_ENGINE_GROUP,MAX_WEIGHTED_SPLIT,535,1,Bison (hunter’s Choice ) - Antelo pe Island - Any Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,2,2,100,1,5,bison bull.xlsx,BI6500_RESIDENT_MAX_WEIGHTED_SPLIT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,1,2,0,2,535,1,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,max_weighted_split,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
BI6500,Resident,Antelope Island,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,2,2,0,2,2,0,2,,,1,1,31,30,RED,MODELED,modeled_engine,535,1,Bison (hunter’s Choice ) - Antelo pe Island - Any Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,2,2,100,1,5,bison bull.xlsx,BI6500_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,2,0,2,535,1,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,standard,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
BI6503,Nonresident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,2,2,4,2,6,4,2,6,,,1,1,30,29,YELLOW,MODELED_ENGINE_GROUP,BONUS_OIL_BIG_GAME,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_NONRESIDENT_MAX/WEIGHTED SPLIT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,94,4,2,6,536,2,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,max/weighted split,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
BI6503,Nonresident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,2,2,4,2,6,4,2,6,,,1,1,30,29,YELLOW,MODELED_ENGINE_GROUP,MAX_WEIGHTED_SPLIT,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_NONRESIDENT_MAX_WEIGHTED_SPLIT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,94,4,2,6,536,2,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,max_weighted_split,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
BI6503,Nonresident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,2,4,2,6,4,2,6,,,1,1,30,29,RED,MODELED,modeled_engine,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,4,2,6,536,2,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,standard,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
BI6503,Resident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,4,4,4,2,6,4,2,6,,,2,1,29,0,YELLOW,MODELED_ENGINE_GROUP,BONUS_OIL_BIG_GAME,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_RESIDENT_MAX/WEIGHTED SPLIT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,94,4,2,6,536,2,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,max/weighted split,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
BI6503,Resident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,4,4,4,2,6,4,2,6,,,2,2,29,0,YELLOW,MODELED_ENGINE_GROUP,MAX_WEIGHTED_SPLIT,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_RESIDENT_MAX_WEIGHTED_SPLIT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,94,4,2,6,536,2,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,max_weighted_split,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
BI6503,Resident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,4,4,2,6,4,2,6,,,2,2,29,0,YELLOW,MODELED,modeled_engine,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,4,2,6,536,2,Bonus Point Draw Results,canonical_2026_source_of_truth_draw_results,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,standard,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,,,,,,,,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long
