hunt_code,hunt_name,species,sex,sex_class,weapon,season,hunt_category,hunt_type,hunt_class,draw_design,draw_method,point_system,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2023_res,permits_2023_nr,permits_2023_total,percent_harvest_success_previous_hunting_season,average_harvest_age,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,resident_p_draw_percent,nonresident_p_draw_percent,total_p_draw_percent,p_draw_percent,engine_route
DB1056,Book Cliffs,Deer,Buck,Buck,Any Legal Weapon,"Oct 17, 2026 - Oct 25, 2026",,Conservation,Organizations,,,,,,0,,,0,,,,,,,,,,100.0,,,9000,5900,,,,,AVAILABILITY_ONLY
DB1075,Book Cliffs,Deer,Buck,Buck,Archery,Aug 16 2025 - Sept 12 2025,,Conservation,Organizations,,,,,,0,,,0,,,,,,,,,,50.0,,,9000,5900,,,,,AVAILABILITY_ONLY
DB1076,Book Cliffs,Deer,Buck,Buck,Muzzleloader,Sept 24 2025 - Oct 02 2025,,Conservation,Organizations,,,,,,0,,,0,,,,,,,,,,0.0,,,9000,5900,,,,,AVAILABILITY_ONLY
PB5337,Heist,Pronghorn,Buck,Buck,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,75.0,,,,,,,,,AVAILABILITY_ONLY
PD1052,Heist,Pronghorn,Doe,Doe,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,,,,,,,6,0,6,,,,,,,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1263,Moon Ranch,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
EA1151,Moon Ranch,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,6,0,6,6,0,6,6,0,6,4,0,4,7,0,7,0.0,,,,,,,,,AVAILABILITY_ONLY
EB3538,Moon Ranch,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,50.0,,,,,,,,,AVAILABILITY_ONLY
DB1310,Whites Valley,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,2,0,2,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1244,Green Canyon,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,2,0,2,1,0,1,87.5,,,,,,,,,AVAILABILITY_ONLY
